Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ST6GALNAC5		1	1	16	6.3%	No
WDR31		1	1	16	6.3%	No
SBF2		2	1	16	6.3%	No
DPYSL5		2	1	16	6.3%	No
FOXM1		1	1	16	6.3%	No
FOXE1		1	1	16	6.3%	No
STK32A		1	1	16	6.3%	No
CDC42BPG		3	1	16	6.3%	No
ANKS1B		1	1	16	6.3%	No
DNAH3		1	1	16	6.3%	No
ZNF821		1	1	16	6.3%	No
RALGAPA1		3	3	16	18.8%	No
INPP5B		1	1	16	6.3%	No
FOXO3		1	1	16	6.3%	Yes
INPP5D		1	1	16	6.3%	Yes
STAC2		1	1	16	6.3%	No
SVOPL		1	1	16	6.3%	No
FLNA		1	1	16	6.3%	No
RHEBL1		1	1	16	6.3%	No
FLI1		1	1	16	6.3%	Yes
FLG		6	4	16	25.0%	No
INSR		1	1	16	6.3%	Yes
OMG		1	1	16	6.3%	No
INSRR		1	1	16	6.3%	No
CTCF		1	1	16	6.3%	Yes
OPCML		1	1	16	6.3%	No
CD226		2	2	16	12.5%	No
FLNC		3	2	16	12.5%	No
SPECC1		1	1	16	6.3%	No
FAM43B		1	1	16	6.3%	No
CDH2		1	1	16	6.3%	No
FMO5		2	2	16	12.5%	No
PRIMA1		1	1	16	6.3%	No
FMO1		1	1	16	6.3%	No
CHRNA9		1	1	16	6.3%	No
RAB1B		1	1	16	6.3%	No
PYHIN1		1	1	16	6.3%	No
FLT4		3	2	16	12.5%	Yes
MED29		1	1	16	6.3%	No
FLT1		2	2	16	12.5%	Yes
IRF1		1	1	16	6.3%	Yes
ATP5MG		1	1	16	6.3%	No
ITGA2		1	1	16	6.3%	No
CDH12		2	1	16	6.3%	No
OTUD5		1	1	16	6.3%	No
DIPK2A		1	1	16	6.3%	No
CDH9		1	1	16	6.3%	No
OR4K1		1	1	16	6.3%	No
AFF2		1	1	16	6.3%	No
CDH4		1	1	16	6.3%	No
OR3A2		1	1	16	6.3%	No
IGF2BP1		1	1	16	6.3%	No
ORC2		2	1	16	6.3%	No
SH3PXD2B		1	1	16	6.3%	No
CDH11		1	1	16	6.3%	Yes
IGF2BP3		1	1	16	6.3%	No
FAHD1		1	1	16	6.3%	No
ZNF587		1	1	16	6.3%	No
TTC13		1	1	16	6.3%	No
ATP13A3		1	1	16	6.3%	No
ABHD8		1	1	16	6.3%	No
TRIM3		1	1	16	6.3%	No
SPAG5		1	1	16	6.3%	No
CDH15		1	1	16	6.3%	No
CDH13		1	1	16	6.3%	No
QTRT1		1	1	16	6.3%	No
PTPN22		1	1	16	6.3%	No
ITGB4		2	2	16	12.5%	No
COX18		1	1	16	6.3%	No
ITGB6		1	1	16	6.3%	No
AOPEP		1	1	16	6.3%	No
FRYL		1	1	16	6.3%	No
ZNF382		1	1	16	6.3%	No
POLR3C		2	2	16	12.5%	No
ZNF366		1	1	16	6.3%	No
TRIM16		1	1	16	6.3%	No
FPR2		1	1	16	6.3%	No
SPTBN1		2	1	16	6.3%	No
SPTB		2	2	16	12.5%	No
CBLN3		1	1	16	6.3%	No
ITGAX		2	2	16	12.5%	No
SQLE		1	1	16	6.3%	No
ARID3B		1	1	16	6.3%	Yes
BOD1L1		1	1	16	6.3%	No
SRP68		1	1	16	6.3%	No
INTS1		2	2	16	12.5%	No
C16ORF89		1	1	16	6.3%	No
ARGFX		1	1	16	6.3%	No
DGKH		1	1	16	6.3%	No
GGTLC2		2	1	16	6.3%	No
BICDL1		1	1	16	6.3%	No
FAM149B1		1	1	16	6.3%	No
SPAG16		1	1	16	6.3%	No
CEBPA		1	1	16	6.3%	Yes
CHPF		1	1	16	6.3%	No
SENP7		1	1	16	6.3%	No
CORO7		1	1	16	6.3%	No
TBL3		1	1	16	6.3%	No
PCNX4		1	1	16	6.3%	No
ACTR6		3	2	16	12.5%	No
CES1		1	1	16	6.3%	No
CENPF		2	1	16	6.3%	No
CENPE		2	1	16	6.3%	No
CEL		1	1	16	6.3%	No
ITPRID2		1	1	16	6.3%	No
SEPTIN4		1	1	16	6.3%	No
SSC5D		1	1	16	6.3%	No
POLR2C		1	1	16	6.3%	No
BTN3A2		1	1	16	6.3%	No
PHF11		1	1	16	6.3%	No
CIT		1	1	16	6.3%	No
ZC3HAV1		1	1	16	6.3%	No
APRG1		1	1	16	6.3%	No
ZFP57		1	1	16	6.3%	No
CGA		1	1	16	6.3%	No
INSIG2		1	1	16	6.3%	No
SLAMF8		1	1	16	6.3%	No
CERCAM		1	1	16	6.3%	No
MACROH2A2		1	1	16	6.3%	No
PROM2		1	1	16	6.3%	No
MRNIP		1	1	16	6.3%	No
BATF3		1	1	16	6.3%	No
PTGR3		1	1	16	6.3%	No
RNF40		3	1	16	6.3%	No
MAN2A1		1	1	16	6.3%	No
POU3F3		2	1	16	6.3%	No
ADGRV1		5	4	16	25.0%	No
IGSF11		1	1	16	6.3%	No
STAT5A		1	1	16	6.3%	Yes
ASIC4		1	1	16	6.3%	No
WDR54		1	1	16	6.3%	No
STAT6		1	1	16	6.3%	Yes
SPOCK2		1	1	16	6.3%	No
NSRP1		1	1	16	6.3%	No
POU5F1		1	1	16	6.3%	Yes
MAP1A		1	1	16	6.3%	No
STK10		1	1	16	6.3%	No
MAP1B		1	1	16	6.3%	No
RB1CC1		1	1	16	6.3%	No
STK11		1	1	16	6.3%	Yes
GMEB1		3	3	16	18.8%	No
CSMD1		1	1	16	6.3%	No
CUL7		2	1	16	6.3%	No
MYO15A		1	1	16	6.3%	No
GRIPAP1		1	1	16	6.3%	No
MB21D2		2	2	16	12.5%	No
GARIN4		1	1	16	6.3%	No
MAN2B1		1	1	16	6.3%	No
SERPINB11		1	1	16	6.3%	No
NEK4		1	1	16	6.3%	No
FEM1A		2	2	16	12.5%	No
DHTKD1		1	1	16	6.3%	No
RAB6C		1	1	16	6.3%	No
JAKMIP2		1	1	16	6.3%	No
MAML3		2	2	16	12.5%	No
CREB3L4		1	1	16	6.3%	No
PPARD		1	1	16	6.3%	No
SULT1A2		1	1	16	6.3%	No
MAPT		1	1	16	6.3%	No
ARHGEF11		2	2	16	12.5%	No
C3ORF20		1	1	16	6.3%	No
MED1		1	1	16	6.3%	No
ARMCX2		1	1	16	6.3%	No
MARK1		1	1	16	6.3%	No
ARHGAP11A		1	1	16	6.3%	No
QRICH2		1	1	16	6.3%	No
NDUFAF6		1	1	16	6.3%	No
ARHGEF17		1	1	16	6.3%	No
MBNL1		2	1	16	6.3%	No
PROCA1		1	1	16	6.3%	No
IHO1		1	1	16	6.3%	No
TREM1		1	1	16	6.3%	No
IL17RB		1	1	16	6.3%	No
ALAS2		1	1	16	6.3%	No
ABCD1		1	1	16	6.3%	No
PODN		1	1	16	6.3%	No
MATN2		1	1	16	6.3%	No
PARG		1	1	16	6.3%	No
LCMT2		1	1	16	6.3%	No
ALDH1B1		1	1	16	6.3%	No
NAV2		1	1	16	6.3%	No
NAV3		2	2	16	12.5%	No
AVIL		1	1	16	6.3%	No
DYNLT2B		1	1	16	6.3%	No
ZEB2		1	1	16	6.3%	No
PPL		3	2	16	12.5%	No
HAT1		1	1	16	6.3%	No
MCC		1	1	16	6.3%	No
C2CD2L		1	1	16	6.3%	No
CCDC18		2	1	16	6.3%	No
EPM2AIP1		1	1	16	6.3%	No
MCF2		1	1	16	6.3%	No
HERC5		1	1	16	6.3%	No
SNTG2		1	1	16	6.3%	No
PLCE1		2	2	16	12.5%	No
ALDOA		1	1	16	6.3%	No
FSTL5		2	2	16	12.5%	No
ALDOB		1	1	16	6.3%	No
GNB5		1	1	16	6.3%	No
HAUS7		1	1	16	6.3%	No
PLXNA3		1	1	16	6.3%	No
CLDN16		1	1	16	6.3%	No
RAB37		2	2	16	12.5%	No
MED24		1	1	16	6.3%	No
CBX4		1	1	16	6.3%	No
CPZ		1	1	16	6.3%	No
MAGI2		1	1	16	6.3%	No
CNTRL		1	1	16	6.3%	Yes
OLFM3		1	1	16	6.3%	No
MCL1		1	1	16	6.3%	Yes
TP53INP1		1	1	16	6.3%	No
PDXDC1		1	1	16	6.3%	No
ALK		1	1	16	6.3%	Yes
PPP1R26		1	1	16	6.3%	No
CEP170		1	1	16	6.3%	No
NEUROG3		1	1	16	6.3%	No
DGKZ		2	1	16	6.3%	No
RAPGEF4		2	2	16	12.5%	No
CEP350		3	3	16	18.8%	No
ADGRG4		2	2	16	12.5%	No
AREL1		1	1	16	6.3%	No
SEC24D		1	1	16	6.3%	No
TOPBP1		1	1	16	6.3%	No
TLK1		1	1	16	6.3%	No
ALOX12B		1	1	16	6.3%	Yes
ENDOD1		1	1	16	6.3%	No
NCOA6		1	1	16	6.3%	No
EDN1		1	1	16	6.3%	No
PJA2		2	1	16	6.3%	No
TOMM70		1	1	16	6.3%	No
MLKL		1	1	16	6.3%	No
POM121		1	1	16	6.3%	No
TRPC3		1	1	16	6.3%	No
TRANK1		1	1	16	6.3%	No
CDC14A		1	1	16	6.3%	No
TRPM2		2	2	16	12.5%	No
TRPC6		1	1	16	6.3%	No
UNC13A		1	1	16	6.3%	No
ALPP		1	1	16	6.3%	No
MDH2		1	1	16	6.3%	No
EDNRB		1	1	16	6.3%	No
TOX4		1	1	16	6.3%	No
PHC2		1	1	16	6.3%	No
OR2T8		1	1	16	6.3%	No
SNAP91		1	1	16	6.3%	No
MADD		2	2	16	12.5%	No
PDZD2		2	2	16	12.5%	No
PLPPR4		1	1	16	6.3%	No
WDTC1		2	2	16	12.5%	No
NUAK1		1	1	16	6.3%	No
AMD1		1	1	16	6.3%	No
AMHR2		1	1	16	6.3%	No
DOP1A		2	2	16	12.5%	No
COL27A1		2	2	16	12.5%	No
ABHD2		1	1	16	6.3%	No
WWP1		1	1	16	6.3%	Yes
CASK		1	1	16	6.3%	No
SCARF1		1	1	16	6.3%	No
TSC1		2	2	16	12.5%	Yes
DAAM1		1	1	16	6.3%	No
SAMD9L		1	1	16	6.3%	No
AMPD1		1	1	16	6.3%	No
MAPKBP1		1	1	16	6.3%	No
PLCH1		1	1	16	6.3%	No
BIN1		1	1	16	6.3%	No
CYFIP2		1	1	16	6.3%	No
STEAP1B		1	1	16	6.3%	No
AKAP8L		1	1	16	6.3%	No
EEF2		2	2	16	12.5%	No
EEF1G		1	1	16	6.3%	No
LILRA2		1	1	16	6.3%	No
RAB31		2	2	16	12.5%	No
AKTIP		2	1	16	6.3%	No
STK38L		1	1	16	6.3%	No
CDH24		2	1	16	6.3%	No
SPEN		15	2	16	12.5%	Yes
FBXO21		1	1	16	6.3%	No
RGS18		1	1	16	6.3%	No
FAIM2		1	1	16	6.3%	No
GALNT17		1	1	16	6.3%	No
ANK2		5	4	16	25.0%	No
ANK3		2	1	16	6.3%	No
LGALS12		1	1	16	6.3%	No
TSC2		1	1	16	6.3%	Yes
EFNB3		1	1	16	6.3%	No
ARAP3		1	1	16	6.3%	No
