Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
VCAN		3	2	14	14.3%	No
ST6GALNAC5		1	1	14	7.1%	No
WDR31		1	1	14	7.1%	No
SBF2		2	1	14	7.1%	No
HEXIM2		5	1	14	7.1%	No
ZNF92		1	1	14	7.1%	No
DPYSL5		2	1	14	7.1%	No
FOXM1		1	1	14	7.1%	No
CDC42BPG		3	1	14	7.1%	No
ANKS1B		1	1	14	7.1%	No
FAM163A		1	1	14	7.1%	No
DNAH3		1	1	14	7.1%	No
CSNK1D		1	1	14	7.1%	No
ADAMTS15		1	1	14	7.1%	No
MARCHF9		1	1	14	7.1%	No
RALGAPA1		2	2	14	14.3%	No
INPP5B		1	1	14	7.1%	No
ZNF326		1	1	14	7.1%	No
ATP11C		1	1	14	7.1%	No
ZSCAN5C		1	1	14	7.1%	No
PLIN4		1	1	14	7.1%	No
TMEM252		1	1	14	7.1%	No
DOCK11		1	1	14	7.1%	No
PXMP2		1	1	14	7.1%	No
CST1		1	1	14	7.1%	No
RHEBL1		1	1	14	7.1%	No
GNS		1	1	14	7.1%	No
CSRP2		1	1	14	7.1%	No
FLI1		1	1	14	7.1%	Yes
FLG		5	3	14	21.4%	No
CSPG4		1	1	14	7.1%	No
NCAN		2	1	14	7.1%	No
STAB2		1	1	14	7.1%	No
INSR		1	1	14	7.1%	Yes
OMG		1	1	14	7.1%	No
PWP2		1	1	14	7.1%	No
INSRR		1	1	14	7.1%	No
CTCF		1	1	14	7.1%	Yes
OPCML		1	1	14	7.1%	No
CD226		1	1	14	7.1%	No
TRPM6		1	1	14	7.1%	No
FLNC		2	2	14	14.3%	No
SPECC1		1	1	14	7.1%	No
FAM43B		1	1	14	7.1%	No
FMO5		2	2	14	14.3%	No
PRIMA1		1	1	14	7.1%	No
ATG2B		1	1	14	7.1%	No
MT-ATP6		1	1	14	7.1%	No
CSTF3		1	1	14	7.1%	No
WDR70		1	1	14	7.1%	No
FLT4		2	1	14	7.1%	Yes
TRIB3		1	1	14	7.1%	No
MED29		1	1	14	7.1%	No
TMEM132D		1	1	14	7.1%	No
FLT1		1	1	14	7.1%	Yes
ZBTB47		1	1	14	7.1%	No
HEPN1		1	1	14	7.1%	No
IRAK2		1	1	14	7.1%	No
NLRP12		1	1	14	7.1%	No
NPAS3		1	1	14	7.1%	No
ZNF468		1	1	14	7.1%	No
EFCAB9		1	1	14	7.1%	No
ITGA2		1	1	14	7.1%	No
CDH12		1	1	14	7.1%	No
DIPK2A		1	1	14	7.1%	No
OR4K1		1	1	14	7.1%	No
CTBS		1	1	14	7.1%	No
RNPC3		1	1	14	7.1%	No
SPATA31D1		2	2	14	14.3%	No
ADAMTS16		1	1	14	7.1%	No
MT-CO1		2	2	14	14.3%	No
IGF2BP1		1	1	14	7.1%	No
TSPYL2		1	1	14	7.1%	No
ORC2		2	1	14	7.1%	No
SH3PXD2B		1	1	14	7.1%	No
CDH11		1	1	14	7.1%	Yes
ADAMTS17		2	2	14	14.3%	No
LONRF1		1	1	14	7.1%	No
ITGAE		1	1	14	7.1%	No
KRT39		1	1	14	7.1%	No
FAHD1		1	1	14	7.1%	No
PIWIL2		1	1	14	7.1%	No
ABHD8		1	1	14	7.1%	No
SND1		1	1	14	7.1%	Yes
SPAG5		1	1	14	7.1%	No
SPTAN1		1	1	14	7.1%	No
UTP25		1	1	14	7.1%	No
CFAP77		1	1	14	7.1%	No
HEATR1		1	1	14	7.1%	No
CDH15		1	1	14	7.1%	No
TMPRSS7		2	1	14	7.1%	No
CDH13		1	1	14	7.1%	No
VPS13B		1	1	14	7.1%	No
KIF12		1	1	14	7.1%	No
ANO10		1	1	14	7.1%	No
PTPN22		1	1	14	7.1%	No
ITGB3		1	1	14	7.1%	No
ITGB4		2	2	14	14.3%	No
SYT12		1	1	14	7.1%	No
MT-ND5		3	3	14	21.4%	No
ITGB6		1	1	14	7.1%	No
AOPEP		2	2	14	14.3%	No
FRYL		1	1	14	7.1%	No
ODAD2		1	1	14	7.1%	No
ZNF382		1	1	14	7.1%	No
POLR3C		1	1	14	7.1%	No
TRIM16		1	1	14	7.1%	No
FPR2		1	1	14	7.1%	No
FIGN		1	1	14	7.1%	No
RGL2		1	1	14	7.1%	No
SPTBN1		2	2	14	14.3%	No
SPTB		2	2	14	14.3%	No
BCL6		1	1	14	7.1%	Yes
ITGAX		2	2	14	14.3%	No
SQLE		1	1	14	7.1%	No
RAB3IL1		1	1	14	7.1%	No
SPTBN2		1	1	14	7.1%	No
ARID3B		1	1	14	7.1%	Yes
BOD1L1		2	2	14	14.3%	No
MTRR		1	1	14	7.1%	No
TAS2R43		1	1	14	7.1%	No
TICRR		1	1	14	7.1%	No
PWWP3A		1	1	14	7.1%	No
INTS1		2	2	14	14.3%	No
EIF4ENIF1		1	1	14	7.1%	No
CCDC12		1	1	14	7.1%	No
KCNQ5		1	1	14	7.1%	No
HCN2		1	1	14	7.1%	No
HOXB3		1	1	14	7.1%	No
SAMSN1		1	1	14	7.1%	No
ARGFX		1	1	14	7.1%	No
MORN3		1	1	14	7.1%	No
RAC1		1	1	14	7.1%	Yes
SDK1		1	1	14	7.1%	No
TAS2R31		1	1	14	7.1%	No
GGTLC2		2	1	14	7.1%	No
BICDL1		1	1	14	7.1%	No
OC90		1	1	14	7.1%	No
HOXD4		1	1	14	7.1%	No
FAM149B1		1	1	14	7.1%	No
SPAG16		1	1	14	7.1%	No
CEBPA		1	1	14	7.1%	Yes
CHPF		1	1	14	7.1%	No
CORO7		1	1	14	7.1%	No
HOXC10		1	1	14	7.1%	No
SIGLEC7		1	1	14	7.1%	No
BDH1		1	1	14	7.1%	No
HOXC6		1	1	14	7.1%	No
TBL3		1	1	14	7.1%	No
CACNA1H		2	2	14	14.3%	No
CACNA1G		1	1	14	7.1%	No
CACNA1I		2	2	14	14.3%	No
TIMELESS		1	1	14	7.1%	No
PCNX4		1	1	14	7.1%	No
ACTR6		3	2	14	14.3%	No
HPD		1	1	14	7.1%	No
CENPF		2	1	14	7.1%	No
CENPE		2	1	14	7.1%	No
HP		1	1	14	7.1%	No
TNIP3		1	1	14	7.1%	No
CELP		1	1	14	7.1%	No
CEL		1	1	14	7.1%	No
RAG1		1	1	14	7.1%	No
ITPRID2		1	1	14	7.1%	No
CNKSR1		1	1	14	7.1%	No
SSC5D		1	1	14	7.1%	No
HERC1		3	1	14	7.1%	No
RAB5IF		1	1	14	7.1%	No
MUC2		1	1	14	7.1%	No
DENND4A		1	1	14	7.1%	No
MUC4	1.790e-5	9	2	14	14.3%	No
BTN3A2		1	1	14	7.1%	No
AIFM3		2	1	14	7.1%	No
MYRFL		2	1	14	7.1%	No
BLM		2	1	14	7.1%	Yes
BLVRA		1	1	14	7.1%	No
SIRPA		1	1	14	7.1%	No
OBSCN		4	1	14	7.1%	No
CIT		1	1	14	7.1%	No
UNC80		1	1	14	7.1%	No
POLRMT		1	1	14	7.1%	No
APRG1		1	1	14	7.1%	No
HPX		1	1	14	7.1%	No
THSD7A		1	1	14	7.1%	No
CGA		1	1	14	7.1%	No
INSIG2		1	1	14	7.1%	No
SLAMF8		1	1	14	7.1%	No
CNBD2		1	1	14	7.1%	No
CERCAM		1	1	14	7.1%	No
MUC6		1	1	14	7.1%	No
PROM2		1	1	14	7.1%	No
AP3D1		1	1	14	7.1%	No
MSLN		1	1	14	7.1%	No
ZNF66		1	1	14	7.1%	No
BATF3		1	1	14	7.1%	No
HNRNPR		2	1	14	7.1%	No
RNF40		3	1	14	7.1%	No
MAN2A1		1	1	14	7.1%	No
POU3F3		2	1	14	7.1%	No
HRC		1	1	14	7.1%	No
LMNTD1		1	1	14	7.1%	No
BMX		1	1	14	7.1%	No
TBC1D13		1	1	14	7.1%	No
PCDHB18P		1	1	14	7.1%	No
FAM47C		2	2	14	14.3%	No
BNIP3		1	1	14	7.1%	No
ADGRV1		2	2	14	14.3%	No
IGSF11		1	1	14	7.1%	No
DST		5	4	14	28.6%	No
FOXL2		1	1	14	7.1%	Yes
PLPPR3		2	1	14	7.1%	No
WDR54		1	1	14	7.1%	No
STAT6		1	1	14	7.1%	Yes
OR2T6		1	1	14	7.1%	No
SLC9A9		1	1	14	7.1%	No
ARHGAP45		1	1	14	7.1%	No
NSRP1		1	1	14	7.1%	No
POU5F1		1	1	14	7.1%	Yes
MAP1A		1	1	14	7.1%	No
ATXN2		1	1	14	7.1%	Yes
AURKC		1	1	14	7.1%	No
P4HA2		1	1	14	7.1%	No
ATXN1		3	3	14	21.4%	No
STK11		1	1	14	7.1%	Yes
ZNF91		1	1	14	7.1%	No
GMEB1		1	1	14	7.1%	No
CHRNA6		1	1	14	7.1%	No
CUL7		2	1	14	7.1%	No
HSD3B1		1	1	14	7.1%	Yes
PRG4		2	1	14	7.1%	No
SPA17		1	1	14	7.1%	No
BRCA2		1	1	14	7.1%	Yes
TM6SF1		1	1	14	7.1%	No
MYO15A		1	1	14	7.1%	No
MB21D2		3	3	14	21.4%	No
CGAS		2	1	14	7.1%	No
GARIN4		1	1	14	7.1%	No
ZFYVE1		1	1	14	7.1%	No
TRMT2B		1	1	14	7.1%	No
SERPINB11		1	1	14	7.1%	No
NEK4		1	1	14	7.1%	No
FEM1A		1	1	14	7.1%	No
OR1Q1		1	1	14	7.1%	No
DHTKD1		1	1	14	7.1%	No
SBF1		1	1	14	7.1%	No
ZNF830		1	1	14	7.1%	No
ZNF85		1	1	14	7.1%	No
RAB6C		1	1	14	7.1%	No
TTLL11		1	1	14	7.1%	No
WDFY4		2	2	14	14.3%	No
SLFN11		1	1	14	7.1%	Yes
OR52A1		1	1	14	7.1%	No
JAKMIP2		1	1	14	7.1%	No
PPEF1		1	1	14	7.1%	No
HSF1		1	1	14	7.1%	No
HSD17B4		3	2	14	14.3%	No
TNPO3		1	1	14	7.1%	No
HSD17B1		1	1	14	7.1%	No
KY		1	1	14	7.1%	No
BSG		2	1	14	7.1%	No
JADE1		1	1	14	7.1%	No
LRP1B		1	1	14	7.1%	Yes
BST2		1	1	14	7.1%	No
MANSC1		1	1	14	7.1%	No
MAML3		1	1	14	7.1%	No
CREB3L4		1	1	14	7.1%	No
PPARD		1	1	14	7.1%	No
AKT1		1	1	14	7.1%	Yes
MAPT		1	1	14	7.1%	No
ARHGEF11		2	2	14	14.3%	No
C3ORF20		1	1	14	7.1%	No
MED1		1	1	14	7.1%	No
ARMCX2		1	1	14	7.1%	No
MARK1		1	1	14	7.1%	No
QRICH2		1	1	14	7.1%	No
PRX		1	1	14	7.1%	No
ARHGEF17		1	1	14	7.1%	No
CD96		1	1	14	7.1%	No
ADCY4		1	1	14	7.1%	No
BICRAL		1	1	14	7.1%	No
MBNL1		2	1	14	7.1%	No
NOL3		1	1	14	7.1%	No
KALRN		1	1	14	7.1%	No
SCN9A		3	1	14	7.1%	No
DAAM2		1	1	14	7.1%	No
STN1		1	1	14	7.1%	No
PROCA1		1	1	14	7.1%	No
IHO1		1	1	14	7.1%	No
ALAD		1	1	14	7.1%	No
EPG5		1	1	14	7.1%	No
ABCD1		1	1	14	7.1%	No
GPR107		1	1	14	7.1%	No
PODN		1	1	14	7.1%	No
MATN2		1	1	14	7.1%	No
TRPA1		1	1	14	7.1%	No
ALDH1B1		1	1	14	7.1%	No
SCN3A		2	2	14	14.3%	No
NAV2		1	1	14	7.1%	No
NAV3		1	1	14	7.1%	No
AVIL		1	1	14	7.1%	No
DYNLT2B		1	1	14	7.1%	No
ZEB2		1	1	14	7.1%	No
PPL		1	1	14	7.1%	No
HAT1		1	1	14	7.1%	No
MCC		1	1	14	7.1%	No
MTREX		2	1	14	7.1%	No
C2CD2L		1	1	14	7.1%	No
CCDC18		1	1	14	7.1%	No
EPM2AIP1		1	1	14	7.1%	No
ZFYVE28		2	2	14	14.3%	No
SNTG2		1	1	14	7.1%	No
USPL1		1	1	14	7.1%	No
PLCE1		1	1	14	7.1%	No
TPCN1		1	1	14	7.1%	No
NIN		1	1	14	7.1%	Yes
ALDOA		1	1	14	7.1%	No
FSTL5		2	2	14	14.3%	No
SPTBN4		1	1	14	7.1%	No
SCNN1A		1	1	14	7.1%	No
GNB5		1	1	14	7.1%	No
PLXNA3		1	1	14	7.1%	No
RAB37		1	1	14	7.1%	No
MED24		1	1	14	7.1%	No
CBX4		1	1	14	7.1%	No
OLFM3		1	1	14	7.1%	No
C1ORF116		1	1	14	7.1%	No
MCL1		1	1	14	7.1%	Yes
FNDC4		1	1	14	7.1%	No
KLC2		1	1	14	7.1%	No
TP53INP1		1	1	14	7.1%	No
PARD3B		1	1	14	7.1%	No
RFFL		1	1	14	7.1%	No
DOT1L		1	1	14	7.1%	Yes
ALK		1	1	14	7.1%	Yes
MAML2		1	1	14	7.1%	Yes
CEP170		2	2	14	14.3%	No
OXA1L		1	1	14	7.1%	No
DGKZ		2	1	14	7.1%	No
RAPGEF4		2	2	14	14.3%	No
CEP350		2	2	14	14.3%	No
APOL1		1	1	14	7.1%	No
ZNF136		2	1	14	7.1%	No
SEC24D		1	1	14	7.1%	No
GRK7		1	1	14	7.1%	No
TOPBP1		1	1	14	7.1%	No
TLK1		1	1	14	7.1%	No
MLPH		1	1	14	7.1%	No
YTHDC2		2	1	14	7.1%	No
NCOA6		1	1	14	7.1%	No
ZC3HC1		1	1	14	7.1%	No
PJA2		2	1	14	7.1%	No
ADAMTS20		2	2	14	14.3%	No
MLKL		1	1	14	7.1%	No
POM121		1	1	14	7.1%	No
TRPC3		2	2	14	14.3%	No
TRANK1		1	1	14	7.1%	No
FURIN		1	1	14	7.1%	Yes
ETNPPL		1	1	14	7.1%	No
CX3CL1		1	1	14	7.1%	No
