Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
CREB1		2q33.3	HOMDEL	1	8	12.5%	Yes
NFKBIB		19q13.2	AMP	1	8	12.5%	No
IFNL2		19q13.2	AMP	1	8	12.5%	No
ADRA1D		20p13	AMP	1	8	12.5%	No
ASB14		3p14.3	HOMDEL	1	8	12.5%	No
NQO1		16q22.1	AMP	1	8	12.5%	No
LINC00906		19q12	AMP	1	8	12.5%	No
ARL5C		17q12	AMP	1	8	12.5%	No
CYB5A		18q22.3	HOMDEL	1	8	12.5%	No
MST1R		3p21.31	HOMDEL	1	8	12.5%	Yes
BAGE2	1.952e-1	21p11.2	HOMDEL	1	8	12.5%	No
GJD3		17q21.2	AMP	1	8	12.5%	No
KLHL10		17q21.2	AMP	1	8	12.5%	No
NAT2		8p22	HOMDEL	1	8	12.5%	No
UGT1A10	3.466e-41	2q37.1	HOMDEL	1	8	12.5%	No
CCR1		3p21.31	HOMDEL	1	8	12.5%	No
STK11IP		2q35	HOMDEL	1	8	12.5%	No
RN7SL110P		3p25.1	HOMDEL	1	8	12.5%	No
LINC00471	3.466e-41	2q37.1	HOMDEL	1	8	12.5%	No
CMTM2		16q21	HOMDEL	1	8	12.5%	No
GSE1		16q24.1	HOMDEL	1	8	12.5%	No
INO80D		2q33.3	HOMDEL	1	8	12.5%	No
TMCC3		12q22	HOMDEL	1	8	12.5%	No
SNORD29		11q12.3	AMP	1	8	12.5%	No
ZMYND8		20q13.12	AMP	1	8	12.5%	No
RNA5SP422	1.727e-2	16p11.1	HOMDEL	1	8	12.5%	No
H2BC15		6p22.1	HOMDEL	1	8	12.5%	No
FHIT	1.862e-9	3p14.2	HOMDEL	1	8	12.5%	Yes
KCTD9		8p21.2	HOMDEL	1	8	12.5%	No
C11ORF52	1.076e-32	11q23.1	HOMDEL	1	8	12.5%	No
SNORA6		3p22.2	HOMDEL	1	8	12.5%	No
FLNB		3p14.3	HOMDEL	1	8	12.5%	No
BRK1		3p25.3	HOMDEL	1	8	12.5%	No
SOCS2		12q	HOMDEL	1	8	12.5%	Yes
LARS2		3p21.31	HOMDEL	1	8	12.5%	No
ANKRD20A11P	1.952e-1	21q11.2	HOMDEL	1	8	12.5%	No
ITIH1		3p21.1	HOMDEL	1	8	12.5%	No
