Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FREM1		1	1	3	33.3%	No
PRR32		1	1	3	33.3%	No
PALS1		1	1	3	33.3%	No
GCNA		1	1	3	33.3%	No
SEC31A		1	1	3	33.3%	Yes
ASPM		1	1	3	33.3%	No
ZNF92		1	1	3	33.3%	No
REPS2		1	1	3	33.3%	No
GAA		1	1	3	33.3%	No
MLXIPL		1	1	3	33.3%	No
FMN2		1	1	3	33.3%	No
NYAP2		1	1	3	33.3%	No
KLHL5		2	1	3	33.3%	No
THAP7		1	1	3	33.3%	No
SETD5		1	1	3	33.3%	Yes
KCNF1		1	1	3	33.3%	No
MXI1		1	1	3	33.3%	No
SBNO1		1	1	3	33.3%	No
RBL1		1	1	3	33.3%	No
KLHL1		1	1	3	33.3%	No
NOS3		1	1	3	33.3%	No
KHDC4		2	1	3	33.3%	No
LUC7L		1	1	3	33.3%	No
PLIN4		1	1	3	33.3%	No
TENT2		1	1	3	33.3%	No
CHD3		1	1	3	33.3%	No
FLNB		1	1	3	33.3%	No
FLNA		1	1	3	33.3%	No
IQGAP2		1	1	3	33.3%	No
NSUN5		1	1	3	33.3%	No
KLHL38		1	1	3	33.3%	No
NOX5		1	1	3	33.3%	No
FLG		1	1	3	33.3%	No
TMC4		2	1	3	33.3%	No
ZNF274		1	1	3	33.3%	No
SNAPC5		1	1	3	33.3%	No
ALDH1L2		1	1	3	33.3%	No
GHR		1	1	3	33.3%	No
MPP7		1	1	3	33.3%	No
RAD51AP1		1	1	3	33.3%	No
SPRTN		1	1	3	33.3%	Yes
GGT7		1	1	3	33.3%	No
ZNF417		1	1	3	33.3%	No
BRWD1		1	1	3	33.3%	No
SRGAP1		1	1	3	33.3%	No
IPP		1	1	3	33.3%	No
PRUNE2		1	1	3	33.3%	No
RBPMS-AS1		1	1	3	33.3%	No
VPS4A		1	1	3	33.3%	No
IREB2		1	1	3	33.3%	No
MYH9		1	1	3	33.3%	Yes
CAPN9		1	1	3	33.3%	No
CNKSR2		1	1	3	33.3%	No
ZNF510		1	1	3	33.3%	No
TCF25		1	1	3	33.3%	No
CPN2		1	1	3	33.3%	No
USP6		1	1	3	33.3%	Yes
CTU2		1	1	3	33.3%	No
TRIM61		1	1	3	33.3%	No
BRINP3		1	1	3	33.3%	No
SLAMF6		1	1	3	33.3%	No
FAM186A		1	1	3	33.3%	No
FN1		2	1	3	33.3%	No
CGN		2	1	3	33.3%	No
SOGA3		1	1	3	33.3%	No
NUGGC		1	1	3	33.3%	No
LIPI		1	1	3	33.3%	No
NEO1		1	1	3	33.3%	No
FAM83G		1	1	3	33.3%	No
OTOP1		1	1	3	33.3%	No
GCFC2		1	1	3	33.3%	No
KMT2C		3	1	3	33.3%	Yes
ITGA9		1	1	3	33.3%	No
COBLL1		1	1	3	33.3%	No
