Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	1	17	5.9%	No
MAP6		11q13.5	HOMDEL	1	17	5.9%	No
NFKBIB		19q13.2	AMP	1	17	5.9%	No
IFNL2		19q13.2	AMP	1	17	5.9%	No
COMMD5		8q24.3	AMP	1	17	5.9%	No
SMIM10		Xq26.3	AMP	2	17	11.8%	No
PKP3		11p15.5	HOMDEL	1	17	5.9%	No
NOL11		17q24.2	AMP	1	17	5.9%	No
RNU6-48P		1p36.11	HOMDEL	1	17	5.9%	No
NAT2		8p22	HOMDEL	1	17	5.9%	No
UGT1A10		2q37.1	HOMDEL	1	17	5.9%	No
SNORA29		6q25.3	HOMDEL	1	17	5.9%	No
ALG1L2		3q22.1	AMP	1	17	5.9%	No
ADPRM		17p13.1	HOMDEL	1	17	5.9%	No
STK11IP		2q35	HOMDEL	1	17	5.9%	No
LINC00471		2q37.1	HOMDEL	1	17	5.9%	No
LINC01238		2q37.3	HOMDEL	1	17	5.9%	No
INO80D		2q33.3	HOMDEL	1	17	5.9%	No
LINC01227		16q23.2	HOMDEL	1	17	5.9%	No
COG1		17q25.1	AMP	1	17	5.9%	No
FXR2		17p13.1	HOMDEL	1	17	5.9%	No
RNF212		4p16.3	HOMDEL	1	17	5.9%	No
RIC8A		11p15.5	HOMDEL	1	17	5.9%	No
SDHAP4		3q29	AMP	4	17	23.5%	No
RAB36		22q11.23	AMP	1	17	5.9%	No
C11ORF52		11q23.1	HOMDEL	1	17	5.9%	No
PA2G4P4		3q25.31	AMP	2	17	11.8%	No
MPRIP		17p11.2	HOMDEL	1	17	5.9%	No
CDRT7		17p12	HOMDEL	1	17	5.9%	No
C2ORF72		2q37.1	HOMDEL	1	17	5.9%	No
CCDC83		11q14.1-q14.2	HOMDEL	2	17	11.8%	No
MPDU1		17p13.1	HOMDEL	1	17	5.9%	No
AASDHPPT		11q22.3	HOMDEL	1	17	5.9%	No
SNORD49A		17p11.2	HOMDEL	1	17	5.9%	No
SOX15		17p13.1	HOMDEL	1	17	5.9%	No
MGMT		10q26.3	HOMDEL	1	17	5.9%	No
GMPR		6p22.3	HOMDEL	1	17	5.9%	No
FGF17		8p21.3	HOMDEL	1	17	5.9%	No
CFAP44-AS1		3q13.2	AMP	1	17	5.9%	No
ARL4C		2q37.1	HOMDEL	1	17	5.9%	No
HIRA		22q11.21	AMP	1	17	5.9%	Yes
CASP12		11q22.3	HOMDEL	1	17	5.9%	No
B3GNT7		2q37.1	HOMDEL	1	17	5.9%	No
TMED6		16q22.1	HOMDEL	1	17	5.9%	No
MPP1		Xq28	AMP	2	17	11.8%	No
C17ORF100		17p13.1	HOMDEL	1	17	5.9%	No
CREBZF		11q14.1	HOMDEL	2	17	11.8%	No
SDHAP3		5p15.33	AMP	1	17	5.9%	No
TRIM16		17p12	HOMDEL	1	17	5.9%	No
LINC00589		8p12	HOMDEL	1	17	5.9%	No
TMEM208		16q22.1	HOMDEL	1	17	5.9%	No
POLE		12q24.33	AMP	1	17	5.9%	Yes
FOXF1		16q24.1	HOMDEL	1	17	5.9%	Yes
ARL13B		3q11.1-q11.2	AMP	1	17	5.9%	No
IL12A		3q25.33	AMP	2	17	11.8%	No
ADGRE3		19p13.12	AMP	1	17	5.9%	No
ZNF490		19p13.2-p13.13	AMP	1	17	5.9%	No
SNORD49B		17p11.2	HOMDEL	1	17	5.9%	No
ZNF576		19q13.31	AMP	1	17	5.9%	No
PAK4		19q13.2	AMP	1	17	5.9%	No
CNTROB		17p13.1	HOMDEL	1	17	5.9%	No
AMOTL2		3q22.2	AMP	1	17	5.9%	No
CATSPERG		19q13.2	AMP	1	17	5.9%	No
DVL3		3q27.1	AMP	3	17	17.6%	No
MVD		16q24.2	HOMDEL	1	17	5.9%	No
ACKR4		3q22.1	AMP	1	17	5.9%	No
ENKD1		16q22.1	HOMDEL	1	17	5.9%	No
ZNF280C		Xq26.1	AMP	1	17	5.9%	No
ALDH1L1-AS1		3q21.3	AMP	1	17	5.9%	No
KRTAP5-3		11p15.5	HOMDEL	1	17	5.9%	No
PRR21		2q37.3	HOMDEL	1	17	5.9%	No
UTP11		1p34.3	AMP	1	17	5.9%	No
CT45A2		Xq26.3	AMP	2	17	11.8%	No
DHX33		17p13.2	HOMDEL	1	17	5.9%	No
FAM76B		11q21	HOMDEL	1	17	5.9%	No
SIDT1		3q13.2	AMP	1	17	5.9%	No
SYMPK		19q13.32	AMP	1	17	5.9%	No
NKPD1		19q13.32	AMP	1	17	5.9%	No
USP6		17p13.2	HOMDEL	1	17	5.9%	Yes
SPATA22		17p13.2	HOMDEL	1	17	5.9%	No
NUMBL		19q13.2	AMP	1	17	5.9%	No
DHPS		19p13.13	AMP	1	17	5.9%	No
SLC16A6		17q24.2	AMP	1	17	5.9%	No
CCDC80		3q13.2	AMP	1	17	5.9%	No
URAHP		16q24.3	HOMDEL	1	17	5.9%	No
PPP1R37		19q13.32	AMP	1	17	5.9%	No
PTGER1		19p13.1	AMP	1	17	5.9%	No
HTR3E		3q27.1	AMP	3	17	17.6%	No
