Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RBMXL3		1	1	21	4.8%	No
PRR32		1	1	21	4.8%	No
MDM1		1	1	21	4.8%	No
ASPM		2	2	21	9.5%	No
SBF2		1	1	21	4.8%	No
HEXIM2		1	1	21	4.8%	No
ZNF92		1	1	21	4.8%	No
CSNK2A2		1	1	21	4.8%	No
OGN		1	1	21	4.8%	No
SLC44A3		1	1	21	4.8%	No
FOXE1		1	1	21	4.8%	No
NUDT10		1	1	21	4.8%	No
ANKS1B		1	1	21	4.8%	No
DNAH3		1	1	21	4.8%	No
ZNF618		1	1	21	4.8%	No
LAMA1		2	2	21	9.5%	No
FOXL1		1	1	21	4.8%	No
RALGAPA1		2	2	21	9.5%	No
TDRD12		1	1	21	4.8%	No
FOXO3		1	1	21	4.8%	Yes
STAC2		1	1	21	4.8%	No
C12ORF54		1	1	21	4.8%	No
PLIN4		1	1	21	4.8%	No
FLNB		1	1	21	4.8%	No
FLNA		1	1	21	4.8%	No
CSRP1		1	1	21	4.8%	No
FLG		5	5	21	23.8%	No
SUPT20H		3	3	21	14.3%	No
OPCML		1	1	21	4.8%	No
CD226		1	1	21	4.8%	No
TRPM6		1	1	21	4.8%	No
ALDH1L2		1	1	21	4.8%	No
IRF4		1	1	21	4.8%	Yes
FMO5		1	1	21	4.8%	No
MPP7		1	1	21	4.8%	No
RAD51AP1		1	1	21	4.8%	No
ATG2B		1	1	21	4.8%	No
DMAC2		1	1	21	4.8%	No
PYHIN1		1	1	21	4.8%	No
SLFN12		1	1	21	4.8%	No
IPP		1	1	21	4.8%	No
ITGA6		1	1	21	4.8%	No
ZFP62		1	1	21	4.8%	No
IREB2		2	1	21	4.8%	No
IRF1		1	1	21	4.8%	Yes
PYGM		1	1	21	4.8%	No
NPAS3		1	1	21	4.8%	No
EXOC3L2		2	2	21	9.5%	No
SPRED1		2	2	21	9.5%	Yes
CDH12		1	1	21	4.8%	No
ZNF611		1	1	21	4.8%	No
BRINP3		1	1	21	4.8%	No
CDH10		2	2	21	9.5%	No
CDH9		1	1	21	4.8%	No
FN1		2	1	21	4.8%	No
SOGA3		1	1	21	4.8%	No
CDH4		1	1	21	4.8%	No
SPATA31D1		4	3	21	14.3%	No
OR3A2		1	1	21	4.8%	No
PRPF38B		1	1	21	4.8%	No
CRTAC1		1	1	21	4.8%	No
ORC1		1	1	21	4.8%	No
VPS41		1	1	21	4.8%	No
TMTC3		1	1	21	4.8%	No
IGF2BP2		1	1	21	4.8%	No
IGF2BP3		1	1	21	4.8%	No
CYP4X1		1	1	21	4.8%	No
ITGA9		1	1	21	4.8%	No
ITGAM		1	1	21	4.8%	No
FOLR3		1	1	21	4.8%	No
ZNF587		1	1	21	4.8%	No
SPTA1		1	1	21	4.8%	No
PELP1		1	1	21	4.8%	No
TRIM3		1	1	21	4.8%	No
CDH18		1	1	21	4.8%	No
TMEM151B		1	1	21	4.8%	No
CDH17		1	1	21	4.8%	No
TRIM68		1	1	21	4.8%	No
POTEC		2	2	21	9.5%	No
MTHFD1		1	1	21	4.8%	No
VPS13B		1	1	21	4.8%	No
MTHFR		1	1	21	4.8%	No
SPRR2E		1	1	21	4.8%	No
CDH23		1	1	21	4.8%	No
ITGA7		1	1	21	4.8%	No
ITGB6		1	1	21	4.8%	No
MYO1F		1	1	21	4.8%	No
OR6C75		2	1	21	4.8%	No
FRYL		1	1	21	4.8%	No
ODAD2		1	1	21	4.8%	No
ZNF341		1	1	21	4.8%	No
CDKN2A		1	1	21	4.8%	Yes
ZNF366		1	1	21	4.8%	No
SRBD1		1	1	21	4.8%	No
LARP1B		1	1	21	4.8%	No
HOXA7		1	1	21	4.8%	No
TXNIP		1	1	21	4.8%	No
FPGS		1	1	21	4.8%	No
FIGN		1	1	21	4.8%	No
