Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
OCLN		1	1	82	1.2%	No
C4ORF54		2	2	82	2.4%	No
MDM1		1	1	82	1.2%	No
ASPM		4	4	82	4.9%	No
SBF2		2	2	82	2.4%	No
RNF146		1	1	82	1.2%	No
SPRY4		1	1	82	1.2%	No
FOXC2		1	1	82	1.2%	No
CDC42BPG		1	1	82	1.2%	No
ANKS1B		1	1	82	1.2%	No
DNAH3		6	5	82	6.1%	No
LAMA1		3	3	82	3.7%	No
KRTAP1-3		1	1	82	1.2%	No
ZNF821		1	1	82	1.2%	No
AGPAT4		1	1	82	1.2%	No
INPP4A		2	2	82	2.4%	Yes
INPP5D		1	1	82	1.2%	Yes
FOXO1		1	1	82	1.2%	Yes
INPPL1		4	3	82	3.7%	Yes
PDX1		1	1	82	1.2%	No
CNOT11		1	1	82	1.2%	No
FLNB		3	3	82	3.7%	No
A1BG		1	1	82	1.2%	No
FLNA		4	3	82	3.7%	No
FLII		2	2	82	2.4%	No
FLG		9	7	82	8.5%	No
SUPT20H		2	2	82	2.4%	No
NAT1		1	1	82	1.2%	No
INSM1		1	1	82	1.2%	No
TRIM73		1	1	82	1.2%	No
INSR		1	1	82	1.2%	Yes
OMP		1	1	82	1.2%	No
INSRR		1	1	82	1.2%	No
EIF3E		1	1	82	1.2%	Yes
FLOT2		1	1	82	1.2%	No
OPCML		1	1	82	1.2%	No
FLNC		6	4	82	4.9%	No
SIX6		1	1	82	1.2%	No
FBXW10B		1	1	82	1.2%	No
FMO5		1	1	82	1.2%	No
SLC15A4		1	1	82	1.2%	No
UBE2Q1		3	2	82	2.4%	No
FLT4		3	3	82	3.7%	Yes
BMP2K		1	1	82	1.2%	No
FLT3		3	3	82	3.7%	Yes
TMEM132D		2	2	82	2.4%	No
FLT1		2	2	82	2.4%	Yes
ILDR2		1	1	82	1.2%	No
OPHN1		2	2	82	2.4%	No
RBPMS-AS1		1	1	82	1.2%	No
IRAK1		1	1	82	1.2%	No
OPRL1		1	1	82	1.2%	No
OPRM1		1	1	82	1.2%	No
ISLR		1	1	82	1.2%	No
ITGA1		1	1	82	1.2%	No
CDH12		2	2	82	2.4%	No
OTUD5		1	1	82	1.2%	No
ZNF611		2	2	82	2.4%	No
MED25		2	2	82	2.4%	No
VEZT		1	1	82	1.2%	No
CDH10		3	2	82	2.4%	No
CDH9		2	2	82	2.4%	No
ZCCHC8		2	2	82	2.4%	No
CDH8		2	2	82	2.4%	No
CDH7		5	5	82	6.1%	No
CDH6		1	1	82	1.2%	No
FN1		5	4	82	4.9%	No
CDH5		1	1	82	1.2%	No
AFF2		4	4	82	4.9%	No
FMR1		3	3	82	3.7%	No
IRF5		2	2	82	2.4%	No
OR6J1		1	1	82	1.2%	No
IRF7		1	1	82	1.2%	No
ZXDB		1	1	82	1.2%	No
SH3PXD2B		2	2	82	2.4%	No
CDH11		2	2	82	2.4%	Yes
FAAH2		1	1	82	1.2%	No
CYP4X1		1	1	82	1.2%	No
ITGA9		1	1	82	1.2%	No
ITGAE		2	2	82	2.4%	No
ITGAL		1	1	82	1.2%	No
ITGAM		2	2	82	2.4%	No
SLX4IP		2	1	82	1.2%	No
FOS		1	1	82	1.2%	No
GPRIN3		1	1	82	1.2%	No
EPS8L3		2	2	82	2.4%	No
