Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	2	115	1.7%	No
IGBP1P1		14q13.2	AMP	2	115	1.7%	No
ZNF728		19p12	HOMDEL	2	115	1.7%	No
GPHN		14q23.3	HOMDEL	1	115	0.9%	Yes
MAPK9		5q35.3	HOMDEL	1	115	0.9%	No
NGFR-AS1		17q21.33	AMP	1	115	0.9%	No
CLCF1		11q13.2	AMP	3	115	2.6%	No
C20ORF27		20p13	AMP	1	115	0.9%	No
PRR36		19p13.2	AMP	2	115	1.7%	No
C11ORF53		11q23.1	AMP	1	115	0.9%	No
NAT2		8p22	HOMDEL	1	115	0.9%	No
GAGE12G		Xp11.23	AMP	2	115	1.7%	No
LINC02075		17q21.33	AMP	1	115	0.9%	No
ALG1L2		3q22.1	AMP	5	115	4.3%	No
OXR1		8q23.1	AMP	4	115	3.5%	No
ATP4B		13q34	AMP	1	115	0.9%	No
AQP6		12q13.12	AMP	1	115	0.9%	No
SYTL2		11q14.1	AMP	2	115	1.7%	No
LINC01238		2q37.3	HOMDEL	4	115	3.5%	No
LINC01227		16q23.2	HOMDEL	1	115	0.9%	No
ZNF281		1q32.1	AMP	1	115	0.9%	No
CRLF3		17q11.2	AMP	1	115	0.9%	No
BROX		1q41	AMP	1	115	0.9%	No
RNASE10		14q11.2	AMP	1	115	0.9%	No
PTCD1		7q22.1	AMP	2	115	1.7%	No
EHBP1L1		11q13.1	AMP	1	115	0.9%	No
SNX10		7p15.2	AMP	1	115	0.9%	No
ZNF114		19q13.33	HOMDEL	1	115	0.9%	No
RAB36		22q11.23	AMP	1	115	0.9%	No
ZNF556		19p13.3	AMP	1	115	0.9%	No
YPEL2		17q22	HOMDEL	1	115	0.9%	No
OR2T29		1q44	AMP	1	115	0.9%	No
GAGE12D		Xp11.23	AMP	2	115	1.7%	No
KRTAP10-10		21q22.3	HOMDEL	1	115	0.9%	No
CNOT6		5q35.3	AMP	2	115	1.7%	No
SMC1A		Xp11.22	HOMDEL	1	115	0.9%	Yes
MIR3945HG		4q35.1	HOMDEL	3	115	2.6%	No
LINC02901		6q25.3	HOMDEL	1	115	0.9%	No
SACS		13q12.12	HOMDEL	1	115	0.9%	No
DAZAP1		19p13.3	HOMDEL	3	115	2.6%	Yes
RSL1D1		16p13.13	AMP	2	115	1.7%	No
GSX2		4q12	AMP	1	115	0.9%	No
THG1L		5q33.3	AMP	1	115	0.9%	No
OGFRP1		22q13.2	HOMDEL	1	115	0.9%	No
ZNF512B		20q13.33	AMP	2	115	1.7%	No
TRIM64B		11q14.3	AMP	2	115	1.7%	No
ZBTB7A		19p13.3	HOMDEL	2	115	1.7%	Yes
KRTAP17-1		17q21.2	HOMDEL	1	115	0.9%	No
ARL4C		2q37.1	HOMDEL	3	115	2.6%	No
NAF1		4q32.2	HOMDEL	1	115	0.9%	No
CLGN		4q31.1	HOMDEL	1	115	0.9%	No
DICER1-AS1		14q32.13	AMP	2	115	1.7%	No
RMDN1		8q21.3	AMP	2	115	1.7%	No
TMEM131L		4q31.3	HOMDEL	1	115	0.9%	No
LINC00293		8q11.1	AMP	1	115	0.9%	No
AR		Xq12	AMP	1	115	0.9%	Yes
CFHR5		1q31.3	AMP	1	115	0.9%	No
VSTM5		11q21	AMP	3	115	2.6%	No
LINC01372		7q11.21	AMP	2	115	1.7%	No
TRIM16		17p12	HOMDEL	1	115	0.9%	No
ZNRD2-DT		11q13.1	AMP	1	115	0.9%	No
CPNE8		12q12	AMP	2	115	1.7%	No
OR5P3		11p15.4	HOMDEL	1	115	0.9%	No
ZNF490		19p13.2-p13.13	AMP	2	115	1.7%	No
CRTC1		19p13.11	HOMDEL	1	115	0.9%	Yes
ADA		20q13.12	AMP	1	115	0.9%	No
ZNF576		19q13.31	AMP	1	115	0.9%	No
F11-AS1		4q35.2	HOMDEL	6	115	5.2%	No
FBXL20		17q12	AMP	1	115	0.9%	No
SHH		7q36.3	HOMDEL	2	115	1.7%	No
PCOLCE-AS1		7q22.1	AMP	2	115	1.7%	No
KRTAP3-1		17q21.2	AMP	1	115	0.9%	No
