Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RNA5SP217		6q22.33	HOMDEL	1	129	0.8%	No
TRAV5		14q11.2	AMP	1	129	0.8%	No
ZNF728		19p12	HOMDEL	1	129	0.8%	No
LINC01556		6p22.1	AMP	2	129	1.6%	No
TAF8		6p21.1	HOMDEL	1	129	0.8%	No
RN7SL513P		19p13.11	HOMDEL	1	129	0.8%	No
SNX8		7p22.3	AMP	1	129	0.8%	No
RPL39P5		3q22.2	AMP	15	129	11.6%	No
NOL11		17q24.2	AMP	2	129	1.6%	No
CRELD2		22q13.33	AMP	1	129	0.8%	No
NAT2		8p22	HOMDEL	3	129	2.3%	No
TMEM38A		19p13.11	AMP	1	129	0.8%	No
GAGE12G		Xp11.23	AMP	2	129	1.6%	No
ALG1L2		3q22.1	AMP	11	129	8.5%	No
FNBP4		11p11.2	HOMDEL	1	129	0.8%	No
OXR1		8q23.1	AMP	2	129	1.6%	No
ATP4B	2.830e-4	13q34	AMP	1	129	0.8%	No
SYTL2		11q14.1	AMP	2	129	1.6%	No
ZNF281		1q32.1	AMP	1	129	0.8%	No
TRAV4		14q11.2	AMP	1	129	0.8%	No
BROX		1q41	AMP	1	129	0.8%	No
HEY2		6q22.31	HOMDEL	1	129	0.8%	No
RNASE10		14q11.2	AMP	1	129	0.8%	No
PTCD1		7q22.1	AMP	1	129	0.8%	No
NSMF		9q34.3	HOMDEL	1	129	0.8%	No
EHBP1L1		11q13.1	AMP	1	129	0.8%	No
C9ORF64		9q21.32	HOMDEL	2	129	1.6%	No
ZNF556		19p13.3	AMP	2	129	1.6%	No
TSEN34		19q13.42	AMP	2	129	1.6%	No
OR2T29		1q44	AMP	2	129	1.6%	No
GAGE12D		Xp11.23	AMP	2	129	1.6%	No
SMC1A		Xp11.22	HOMDEL	1	129	0.8%	Yes
ITIH1		3p21.1	HOMDEL	5	129	3.9%	No
MFSD6	1.296e-2	2q32.2	AMP	2	129	1.6%	No
LINC02901	9.848e-5	6q25.3	HOMDEL	2	129	1.6%	No
POT1	1.615e-3	7q31.33	HOMDEL	1	129	0.8%	Yes
AK5		1p31.1	AMP	1	129	0.8%	No
SACS	1.336e-9	13q12.12	HOMDEL	2	129	1.6%	No
DAZAP1		19p13.3	HOMDEL	4	129	3.1%	Yes
RSL1D1		16p13.13	AMP	4	129	3.1%	No
SYNC		1p35.1	AMP	1	129	0.8%	No
PSME2		14q12	HOMDEL	1	129	0.8%	No
GSX2		4q12	AMP	1	129	0.8%	No
ZNF525		19q13.42	AMP	1	129	0.8%	No
TMEM69		1p34.1	AMP	1	129	0.8%	No
STRN4		19q13.32	AMP	1	129	0.8%	No
RNA5SP345		11q21	HOMDEL	3	129	2.3%	No
NANOS1		10q26.11	HOMDEL	1	129	0.8%	No
ZNF512B		20q13.33	AMP	2	129	1.6%	No
TRIM64B		11q14.3	AMP	1	129	0.8%	No
ZBTB7A		19p13.3	HOMDEL	4	129	3.1%	Yes
ARL4C	3.466e-41	2q37.1	HOMDEL	4	129	3.1%	No
BIVM	2.830e-4	13q33.1	AMP	1	129	0.8%	No
TMED6		16q22.1	HOMDEL	2	129	1.6%	No
RNA5SP203	4.670e-2	6p24.2	HOMDEL	2	129	1.6%	No
RMDN1		8q21.3	AMP	1	129	0.8%	No
BHMT2		5q14.1	HOMDEL	1	129	0.8%	No
CFHR5		1q31.3	AMP	1	129	0.8%	No
VSTM5		11q21	AMP	1	129	0.8%	No
MTND1P15		17p11.2	AMP	1	129	0.8%	No
RN7SL561P		20p13	HOMDEL	1	129	0.8%	No
ZNF521		18q11.2	AMP	1	129	0.8%	Yes
GNL2		1p34.3	AMP	1	129	0.8%	No
ZNF490		19p13.2-p13.13	AMP	2	129	1.6%	No
COMMD1		2p15	AMP	1	129	0.8%	No
ITPKB		1q42.12	HOMDEL	2	129	1.6%	No
CRTC1		19p13.11	HOMDEL	1	129	0.8%	Yes
ADA		20q13.12	AMP	1	129	0.8%	No
ZNF576		19q13.31	AMP	3	129	2.3%	No
RN7SL584P		15q11.1	AMP	2	129	1.6%	No
FBXL20		17q12	AMP	2	129	1.6%	No
DNAJB1		19p13.12	HOMDEL	1	129	0.8%	Yes
ABCC6		16p13.11	AMP	2	129	1.6%	No
LCNL1		9q34.3	HOMDEL	2	129	1.6%	No
SCN10A		3p22.2	HOMDEL	2	129	1.6%	No
PRR21	3.466e-41	2q37.3	HOMDEL	5	129	3.9%	No
ANKRD12		18p11.22	HOMDEL	2	129	1.6%	No
UTP11		1p34.3	AMP	2	129	1.6%	No
KRT40		17q21.2	HOMDEL	1	129	0.8%	No
PKD1L1		7p12.3	AMP	1	129	0.8%	No
DHX33		17p13.2	HOMDEL	1	129	0.8%	No
CNGB3		8q21.3	AMP	1	129	0.8%	No
FAM76B		11q21	HOMDEL	3	129	2.3%	No
SIDT1		3q13.2	AMP	7	129	5.4%	No
THEM5	3.200e-5	1q21.3	AMP	5	129	3.9%	No
NKPD1		19q13.32	AMP	3	129	2.3%	No
THTPA		14q11.2	AMP	1	129	0.8%	No
USP6		17p13.2	HOMDEL	1	129	0.8%	Yes
HMGN4		6p22.2	AMP	1	129	0.8%	No
GTSF1L		20q13.12	AMP	2	129	1.6%	No
TRBV19	1.615e-3	7q34	HOMDEL	1	129	0.8%	No
RNA5SP179		5p15.1	AMP	4	129	3.1%	No
MUSTN1		3p21.1	HOMDEL	5	129	3.9%	No
ARAF		Xp11.3	AMP	2	129	1.6%	Yes
TRIM38		6p22.2	AMP	1	129	0.8%	No
TIMM23B		10q11.23	HOMDEL	1	129	0.8%	No
GTF2F1		19p13.3	HOMDEL	3	129	2.3%	No
CCDC80		3q13.2	AMP	7	129	5.4%	No
SMR3B		4q13.3	HOMDEL	2	129	1.6%	No
ADAR	3.200e-5	1q21.3	AMP	5	129	3.9%	No
IKBKB		8p11.21	HOMDEL	1	129	0.8%	Yes
NANP		20p11.21	AMP	2	129	1.6%	No
CNKSR1	2.952e-4	1p36.11	HOMDEL	1	129	0.8%	No
PPP1R37		19q13.32	AMP	3	129	2.3%	No
CFAP53		18q21.1	HOMDEL	1	129	0.8%	No
RN7SKP62		5q21.1	HOMDEL	1	129	0.8%	No
ZNF488		10q11.22	HOMDEL	1	129	0.8%	No
RN7SKP3	2.168e-19	13q14.12	HOMDEL	3	129	2.3%	No
RIIAD1	3.200e-5	1q21.3	AMP	5	129	3.9%	No
OR7E24		19p13.2	HOMDEL	2	129	1.6%	No
ERLIN1		10q24.31	HOMDEL	1	129	0.8%	No
BARX1		9q22.32	HOMDEL	1	129	0.8%	No
HAPLN3	5.804e-3	15q26.1	AMP	5	129	3.9%	No
CXORF49B		Xq13.1	HOMDEL	1	129	0.8%	No
PLAAT2		11q12.3	AMP	1	129	0.8%	No
RNA5SP178		5p15.1	AMP	4	129	3.1%	No
ACOT11		1p32.3	AMP	2	129	1.6%	No
SSX6P		Xp11.23	AMP	2	129	1.6%	No
VPS16		20p13	HOMDEL	1	129	0.8%	No
TRAV7		14q11.2	AMP	1	129	0.8%	No
LINC00313		21q22.3	HOMDEL	1	129	0.8%	No
RNA5SP189		5q21.3	HOMDEL	1	129	0.8%	No
MTMR7		8p22	HOMDEL	3	129	2.3%	No
LINC00111		21q22.3	HOMDEL	1	129	0.8%	No
CCM2L		20q11.21	AMP	8	129	6.2%	No
ADARB1		21q22.3	AMP	1	129	0.8%	No
CD99P1		Xp22.33 and Yp11.31	AMP	3	129	2.3%	No
CISH		3p21.2	HOMDEL	5	129	3.9%	No
LINC00616		4q28.3	HOMDEL	1	129	0.8%	No
TRAV5		14q11.2	HOMDEL	1	129	0.8%	No
PPP1R18		6p21.33	AMP	5	129	3.9%	No
TMEM45A		3q12.2	AMP	9	129	7.0%	No
RAB3IP		12q15	AMP	1	129	0.8%	No
KCTD15		19q13.11	AMP	3	129	2.3%	No
RAB4A		1q42.13	HOMDEL	2	129	1.6%	No
RNA5SP181		5p13.2	AMP	5	129	3.9%	No
PFDN6		6p21.32	AMP	1	129	0.8%	No
HEXB		5q13.3	HOMDEL	1	129	0.8%	No
RNA5SP76		1q41	AMP	1	129	0.8%	No
PHF8		Xp11.22	HOMDEL	1	129	0.8%	No
ESRP1		8q22.1	AMP	1	129	0.8%	No
SLC35F6	9.994e-2	2p23.3	AMP	2	129	1.6%	No
SPATA16		3q26.31	AMP	33	129	25.6%	No
CCDC163		1p34.1	AMP	1	129	0.8%	No
RTP2		3q27.3	AMP	32	129	24.8%	No
PLK4		4q28.1	HOMDEL	1	129	0.8%	No
SNORA73B	2.952e-4	1p35.3	HOMDEL	1	129	0.8%	No
SSX7		Xp11.22	AMP	1	129	0.8%	No
ALK	9.994e-2	2p23.2-p23.1	AMP	2	129	1.6%	Yes
UBE2Q2P1	5.804e-3	15q25.2	AMP	5	129	3.9%	No
NAALAD2		11q14.3	HOMDEL	3	129	2.3%	No
CHD5	2.952e-4	1p36.31	HOMDEL	1	129	0.8%	No
SBDS		7q11.21	AMP	1	129	0.8%	Yes
BDNF	2.701e-2	11p14.1	HOMDEL	1	129	0.8%	No
CSRNP3		2q24.3	AMP	1	129	0.8%	No
MRPL52		14q11.2	AMP	1	129	0.8%	No
UACA		15q23	AMP	1	129	0.8%	No
ZBTB18		1q44	AMP	2	129	1.6%	No
C12ORF56		12q14.2	AMP	1	129	0.8%	No
RNA5SP180		5p15.1	AMP	5	129	3.9%	No
SSX2IP		1p22.3	AMP	1	129	0.8%	No
COL4A5		Xq22.3	HOMDEL	1	129	0.8%	No
CELA3A	2.952e-4	1p36.12	HOMDEL	1	129	0.8%	No
PSMG4		6p25.2	AMP	1	129	0.8%	No
GPR146		7p22.3	HOMDEL	1	129	0.8%	No
RAP1B		12q15	AMP	1	129	0.8%	No
SAMD10		20q13.33	AMP	2	129	1.6%	No
HHEX		10q23.33	HOMDEL	1	129	0.8%	No
CCDC105		19p13.12	AMP	1	129	0.8%	No
SLC25A17		22q13.2	AMP	2	129	1.6%	No
NARF	6.784e-4	17q25.3	HOMDEL	1	129	0.8%	No
DDX39A		19p13.12	AMP	2	129	1.6%	No
RN7SKP116		6p12.3	HOMDEL	1	129	0.8%	No
FNDC1	9.848e-5	6q25.3	HOMDEL	2	129	1.6%	No
OR7D2		19p13.2	HOMDEL	2	129	1.6%	No
GAGE2C		Xp11.23	AMP	2	129	1.6%	No
TRIP6		7q22.1	AMP	1	129	0.8%	No
TOMM70		3q12.2	AMP	9	129	7.0%	No
APP	1.952e-1	21q21.3	HOMDEL	2	129	1.6%	No
CX3CR1		3p22.2	HOMDEL	2	129	1.6%	No
DNASE2		19p13.13	HOMDEL	1	129	0.8%	No
DLGAP2		8p23.3	HOMDEL	4	129	3.1%	No
RNA5SP78		1q42.13	AMP	1	129	0.8%	No
TNPO2		19p13.13	HOMDEL	1	129	0.8%	No
RABL6		9q34.3	HOMDEL	1	129	0.8%	No
KCNJ16		17q24.3	AMP	1	129	0.8%	No
TDRD10	3.200e-5	1q21.3	AMP	5	129	3.9%	No
LRTM2		12p13.33	AMP	2	129	1.6%	No
RNA5SP183		5q11.2	AMP	1	129	0.8%	No
CPT2		1p32.3	AMP	2	129	1.6%	No
RN7SL491P		19q13.12	AMP	6	129	4.7%	No
RN7SL16P		4p15.2	HOMDEL	1	129	0.8%	No
BCAS1		20q13.2	AMP	2	129	1.6%	No
IBA57-DT		1q42.13	HOMDEL	2	129	1.6%	No
PSMD14		2q24.2	AMP	1	129	0.8%	No
ABHD16B		20q13.33	AMP	2	129	1.6%	No
LINC01620		20q13.12	AMP	2	129	1.6%	No
HDAC9		7p21.1	AMP	1	129	0.8%	No
RN7SL518P		10q22.3	AMP	1	129	0.8%	No
PXDC1		6p25.2	AMP	1	129	0.8%	No
LSM10		1p34.3	AMP	1	129	0.8%	No
COX4I2	4.240e-10	20q11.21	AMP	7	129	5.4%	No
DNAH14		1q42.12	AMP	2	129	1.6%	No
FAM110D	2.952e-4	1p36.11	HOMDEL	1	129	0.8%	No
RN7SL787P		9q13	HOMDEL	2	129	1.6%	No
RAB12		18p11.22	AMP	2	129	1.6%	No
C8ORF48		8p22	HOMDEL	3	129	2.3%	No
KCNJ15		21q22.13-q22.2	AMP	1	129	0.8%	No
NECAP2	2.952e-4	1p36.13	HOMDEL	1	129	0.8%	No
PSMB11		14q11.2	AMP	1	129	0.8%	No
RNA5SP77		1q42.13	AMP	1	129	0.8%	No
RNA5SP182		5q11.2	AMP	1	129	0.8%	No
TNFSF11	2.168e-19	13q14	HOMDEL	3	129	2.3%	No
SOX14		3q22.3	AMP	16	129	12.4%	No
TMEM205		19p13.2	AMP	2	129	1.6%	No
API5		11p12	AMP	1	129	0.8%	No
ATP5PD	2.021e-5	17q25.1	AMP	4	129	3.1%	No
ATRAID	9.994e-2	2p23.3	AMP	2	129	1.6%	No
PKDREJ		22q13.31	AMP	2	129	1.6%	No
LINC01555		1p22.3	AMP	1	129	0.8%	No
RNA5SP81		1q43	AMP	2	129	1.6%	No
PROS1		3q11.1	HOMDEL	1	129	0.8%	No
PATE3	1.076e-32	11q24.2	HOMDEL	9	129	7.0%	No
ADCY2		5p15.31	AMP	4	129	3.1%	No
MBTPS1		16q23.3-q24.1	HOMDEL	1	129	0.8%	No
RN7SL545P		15q11.2	AMP	2	129	1.6%	No
ZNF598		16p13.3	AMP	1	129	0.8%	No
PNMA6A		Xq28	AMP	3	129	2.3%	No
