Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
INSL3		1	1	131	0.8%	No
ST6GALNAC5		1	1	131	0.8%	No
MDM1		2	2	131	1.5%	No
LGALS14		1	1	131	0.8%	No
ASPM		4	4	131	3.1%	No
SBF2		6	5	131	3.8%	No
RNF146		1	1	131	0.8%	No
INSIG1		1	1	131	0.8%	No
OGN		2	2	131	1.5%	No
DPYSL5		4	3	131	2.3%	No
FOXM1		5	4	131	3.1%	No
FOXE1		1	1	131	0.8%	No
FOXC2		1	1	131	0.8%	No
CDC42BPG		4	2	131	1.5%	No
ANKS1B		3	3	131	2.3%	No
SFXN3		1	1	131	0.8%	No
DNAH3		9	9	131	6.9%	No
UBQLN4		1	1	131	0.8%	No
LAMA1		3	3	131	2.3%	No
ZNF821		2	2	131	1.5%	No
INPP4A		3	3	131	2.3%	Yes
INPP5B		1	1	131	0.8%	No
FOXO3		1	1	131	0.8%	Yes
INPP5D		2	2	131	1.5%	Yes
FOXO1		2	2	131	1.5%	Yes
INPPL1		3	2	131	1.5%	Yes
PDX1		1	1	131	0.8%	No
TNFRSF11B		2	2	131	1.5%	No
SERPINA12		1	1	131	0.8%	No
FLNB		2	2	131	1.5%	No
A1BG		1	1	131	0.8%	No
FLNA		11	10	131	7.6%	No
RHEBL1		1	1	131	0.8%	No
A2M		3	3	131	2.3%	No
MLANA		1	1	131	0.8%	No
FLII		2	2	131	1.5%	No
FLI1		2	2	131	1.5%	Yes
FLG		22	15	131	11.5%	No
SUPT20H		2	2	131	1.5%	No
STAB2		3	3	131	2.3%	No
INSR		2	2	131	1.5%	Yes
OMG		1	1	131	0.8%	No
INSRR		4	4	131	3.1%	No
OPA1		2	1	131	0.8%	No
EIF3E		2	2	131	1.5%	Yes
FLOT2		1	1	131	0.8%	No
OPCML		2	2	131	1.5%	No
FLNC		7	5	131	3.8%	No
SIX6		1	1	131	0.8%	No
FBXW10B		2	2	131	1.5%	No
IRF4		4	3	131	2.3%	Yes
OR2C1		1	1	131	0.8%	No
CDH2		2	2	131	1.5%	No
FMOD		1	1	131	0.8%	No
FMO5		3	3	131	2.3%	No
SLC15A4		1	1	131	0.8%	No
PRIMA1		1	1	131	0.8%	No
WFDC9		1	1	131	0.8%	No
FMO3		1	1	131	0.8%	No
MIOX		1	1	131	0.8%	No
FMO2		1	1	131	0.8%	No
UBE2Q1		2	1	131	0.8%	No
FMO1		1	1	131	0.8%	No
CHRNA9		1	1	131	0.8%	No
RAB1B		1	1	131	0.8%	No
FLT4		4	3	131	2.3%	Yes
FLT3LG		1	1	131	0.8%	No
KRTAP4-6		1	1	131	0.8%	No
FLT3		3	3	131	2.3%	Yes
MED29		1	1	131	0.8%	No
TMEM132D		2	2	131	1.5%	No
FLT1		5	5	131	3.8%	Yes
RBPMS-AS1		1	1	131	0.8%	No
IRAK1		3	3	131	2.3%	No
OPRD1		1	1	131	0.8%	No
IRAK2		2	2	131	1.5%	No
OPRM1		1	1	131	0.8%	No
IREB2		1	1	131	0.8%	No
IRF1		1	1	131	0.8%	Yes
ISL1		1	1	131	0.8%	No
ISLR		2	2	131	1.5%	No
ITGA2		2	2	131	1.5%	No
CDH12		4	3	131	2.3%	No
OTUD5		1	1	131	0.8%	No
ZNF611		3	3	131	2.3%	No
DIPK2A		1	1	131	0.8%	No
MED25		2	2	131	1.5%	No
VEZT		3	3	131	2.3%	No
SHARPIN		1	1	131	0.8%	No
CDH10		3	2	131	1.5%	No
FNTA		1	1	131	0.8%	No
CDH9		2	2	131	1.5%	No
ZCCHC8		1	1	131	0.8%	No
CDH8		2	2	131	1.5%	No
OR4K1		2	2	131	1.5%	No
CDH7		2	2	131	1.5%	No
CDH6		1	1	131	0.8%	No
FN1		1	1	131	0.8%	No
CDH5		1	1	131	0.8%	No
AFF2		3	3	131	2.3%	No
CDH4		2	2	131	1.5%	No
FMR1		5	5	131	3.8%	No
IRF7		1	1	131	0.8%	No
ORC1		1	1	131	0.8%	No
ORC2		3	2	131	1.5%	No
ZXDB		1	1	131	0.8%	No
SH3PXD2B		2	2	131	1.5%	No
CDH11		2	2	131	1.5%	Yes
FAAH2		1	1	131	0.8%	No
ITGA9		2	2	131	1.5%	No
ITGAD		1	1	131	0.8%	No
ITGAE		2	2	131	1.5%	No
ITGAL		1	1	131	0.8%	No
ITGAM		1	1	131	0.8%	No
CDK7		1	1	131	0.8%	No
FOS		1	1	131	0.8%	No
GPRIN3		2	2	131	1.5%	No
FOLR3		1	1	131	0.8%	No
FAHD1		1	1	131	0.8%	No
ATP13A3		1	1	131	0.8%	No
CDK4		2	2	131	1.5%	Yes
ABHD8		1	1	131	0.8%	No
CDK3		2	2	131	1.5%	No
CDK2		1	1	131	0.8%	No
CDH18		2	2	131	1.5%	No
CDH17		1	1	131	0.8%	No
FOLH1		2	2	131	1.5%	No
CDH15		1	1	131	0.8%	No
CDH13		1	1	131	0.8%	No
