Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
OCLN		1	1	115	0.9%	No
STPG2		1	1	115	0.9%	No
KRT6C		1	1	115	0.9%	No
ST6GALNAC5		2	1	115	0.9%	No
MDM1		1	1	115	0.9%	No
LGALS14		1	1	115	0.9%	No
ASPM		8	6	115	5.2%	No
SBF2		4	4	115	3.5%	No
INSIG1		1	1	115	0.9%	No
OGN		1	1	115	0.9%	No
DPYSL5		1	1	115	0.9%	No
FOXM1		3	2	115	1.7%	No
FOXC2		2	2	115	1.7%	No
CDC42BPG		4	3	115	2.6%	No
ANKS1B		3	3	115	2.6%	No
GALNT10		1	1	115	0.9%	No
DNAH3		13	7	115	6.1%	No
UBQLN4		1	1	115	0.9%	No
LAMA1		5	5	115	4.3%	No
AGPAT3		2	2	115	1.7%	No
KRTAP1-3		1	1	115	0.9%	No
ZNF821		1	1	115	0.9%	No
AGPAT4		2	2	115	1.7%	No
INPP4A		4	4	115	3.5%	Yes
INPP5A		1	1	115	0.9%	No
INPP5B		1	1	115	0.9%	No
FOXO3		2	1	115	0.9%	Yes
INPP5D		4	2	115	1.7%	Yes
FOXO1		2	2	115	1.7%	Yes
INPPL1		7	4	115	3.5%	Yes
OGDH		3	1	115	0.9%	No
OGG1		1	1	115	0.9%	No
PDX1		1	1	115	0.9%	No
TNFRSF11B		3	3	115	2.6%	No
VANGL1		1	1	115	0.9%	No
ZNF641		1	1	115	0.9%	No
C12ORF54		1	1	115	0.9%	No
CNOT11		1	1	115	0.9%	No
SERPINA12		3	2	115	1.7%	No
FLNB		7	4	115	3.5%	No
A1BG		1	1	115	0.9%	No
FLNA		10	5	115	4.3%	No
A2M		1	1	115	0.9%	No
MLANA		1	1	115	0.9%	No
FLII		6	4	115	3.5%	No
FOXRED1		2	1	115	0.9%	No
TRIM56		1	1	115	0.9%	No
FLI1		1	1	115	0.9%	Yes
METRNL		2	1	115	0.9%	No
FLG		21	13	115	11.3%	No
SUPT20H		8	6	115	5.2%	No
NAGK		1	1	115	0.9%	No
STAB2		6	5	115	4.3%	No
NAT1		1	1	115	0.9%	No
INSM1		1	1	115	0.9%	No
INSR		3	3	115	2.6%	Yes
OMG		2	1	115	0.9%	No
OMP		1	1	115	0.9%	No
INSRR		1	1	115	0.9%	No
OPA1		1	1	115	0.9%	No
EIF3E		3	3	115	2.6%	Yes
FLOT2		2	2	115	1.7%	No
OPCML		1	1	115	0.9%	No
FLNC		8	5	115	4.3%	No
SIX6		1	1	115	0.9%	No
IRF2		1	1	115	0.9%	Yes
FBXW10B		2	2	115	1.7%	No
IRF4		2	2	115	1.7%	Yes
CDH2		1	1	115	0.9%	No
FMOD		2	1	115	0.9%	No
FMO5		2	2	115	1.7%	No
SLC15A4		3	3	115	2.6%	No
KIF27		1	1	115	0.9%	No
WFDC9		1	1	115	0.9%	No
UBE2Q1		5	3	115	2.6%	No
FMO1		1	1	115	0.9%	No
CHRNA9		1	1	115	0.9%	No
FLT4		9	5	115	4.3%	Yes
FLT3LG		1	1	115	0.9%	No
BMP2K		1	1	115	0.9%	No
FLT3		4	4	115	3.5%	Yes
TMEM132D		7	6	115	5.2%	No
FLT1		5	5	115	4.3%	Yes
ILDR2		1	1	115	0.9%	No
IPP		1	1	115	0.9%	No
OPHN1		2	2	115	1.7%	No
IRAK1		2	2	115	1.7%	No
ITGA6		3	2	115	1.7%	No
OPRK1		1	1	115	0.9%	No
IRAK2		1	1	115	0.9%	No
OPRL1		1	1	115	0.9%	No
OPRM1		3	3	115	2.6%	No
FMO4		1	1	115	0.9%	No
IRF1		2	1	115	0.9%	Yes
ISL1		4	1	115	0.9%	No
ISLR		1	1	115	0.9%	No
ITGA1		4	2	115	1.7%	No
GPR180		1	1	115	0.9%	No
ITGA2		3	2	115	1.7%	No
CDH12		4	4	115	3.5%	No
OTUD5		2	1	115	0.9%	No
ZNF611		5	5	115	4.3%	No
MED25		3	3	115	2.6%	No
VEZT		3	3	115	2.6%	No
CDH10		5	4	115	3.5%	No
FNTA		1	1	115	0.9%	No
CDH9		10	4	115	3.5%	No
ZCCHC8		3	3	115	2.6%	No
CDH8		3	3	115	2.6%	No
CDH7		4	4	115	3.5%	No
CDH6		1	1	115	0.9%	No
FN1		8	5	115	4.3%	No
CDH5		2	2	115	1.7%	No
AFF2		5	5	115	4.3%	No
CDH4		2	2	115	1.7%	No
RNPC3		1	1	115	0.9%	No
MRGPRX1		1	1	115	0.9%	No
CDH3		1	1	115	0.9%	No
FMR1		4	4	115	3.5%	No
IRF5		1	1	115	0.9%	No
IRF7		1	1	115	0.9%	No
IRS1		5	1	115	0.9%	Yes
ORC1		2	1	115	0.9%	No
ORC2		1	1	115	0.9%	No
ZXDB		5	3	115	2.6%	No
SH3PXD2B		4	4	115	3.5%	No
CDH11		3	3	115	2.6%	Yes
FAAH2		1	1	115	0.9%	No
CYP4X1		2	2	115	1.7%	No
FMR1NB		3	2	115	1.7%	No
ITGA9		4	4	115	3.5%	No
ITGAD		6	2	115	1.7%	No
ITGAE		3	3	115	2.6%	No
ITGAL		3	2	115	1.7%	No
ITGAM		3	3	115	2.6%	No
SLX4IP		1	1	115	0.9%	No
CDK7		3	2	115	1.7%	No
FOS		1	1	115	0.9%	No
GPRIN3		3	3	115	2.6%	No
FOLR3		1	1	115	0.9%	No
FOLR2		2	1	115	0.9%	No
KASH5		1	1	115	0.9%	No
NKAIN1		1	1	115	0.9%	No
ZNF785		2	1	115	0.9%	No
TTC13		1	1	115	0.9%	No
CDK4		2	2	115	1.7%	Yes
ABHD8		1	1	115	0.9%	No
EPS8L3		2	2	115	1.7%	No
CDK2		1	1	115	0.9%	No
FOLR1		1	1	115	0.9%	No
CDC73		2	2	115	1.7%	Yes
CDH18		2	2	115	1.7%	No
NKAP		2	2	115	1.7%	No
CDH17		3	3	115	2.6%	No
FOLH1		2	2	115	1.7%	No
CDH15		1	1	115	0.9%	No
CDH13		2	2	115	1.7%	No
ITGA2B		1	1	115	0.9%	No
ITGA3		1	1	115	0.9%	No
BOD1L2		1	1	115	0.9%	No
ITGA4		2	2	115	1.7%	No
QTRT1		2	1	115	0.9%	No
TRIM50		1	1	115	0.9%	No
ITGA5		1	1	115	0.9%	No
ITGA7		4	4	115	3.5%	No
KCTD1		1	1	115	0.9%	No
METTL24		1	1	115	0.9%	No
ITGB3		1	1	115	0.9%	No
ITGB4		2	2	115	1.7%	No
ITGB5		4	2	115	1.7%	No
COX18		1	1	115	0.9%	No
ITGB6		1	1	115	0.9%	No
ITGB7		1	1	115	0.9%	No
CDKN3		1	1	115	0.9%	No
