Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		3	3	71	4.2%	No
OCLN		1	1	71	1.4%	No
STPG2		2	2	71	2.8%	No
KRT6C		1	1	71	1.4%	No
ST6GALNAC5		2	1	71	1.4%	No
ASPM		7	5	71	7.0%	No
RNF146		1	1	71	1.4%	No
FOXD2		1	1	71	1.4%	No
OGN		2	2	71	2.8%	No
DPYSL5		2	2	71	2.8%	No
FOXM1		1	1	71	1.4%	No
WRNIP1		1	1	71	1.4%	No
FOXE1		1	1	71	1.4%	No
FOXC2		1	1	71	1.4%	No
CDC42BPG		4	3	71	4.2%	No
ANKS1B		2	2	71	2.8%	No
GALNT10		1	1	71	1.4%	No
DNAH3		9	3	71	4.2%	No
UBQLN4		2	2	71	2.8%	No
LAMA1		5	5	71	7.0%	No
AGPAT3		1	1	71	1.4%	No
KRTAP1-3		3	2	71	2.8%	No
AGPAT4		3	3	71	4.2%	No
INPP4A		2	2	71	2.8%	Yes
INPP5A		1	1	71	1.4%	No
FOXO3		3	2	71	2.8%	Yes
INPP5D		3	1	71	1.4%	Yes
INPPL1		3	1	71	1.4%	Yes
OGDH		7	4	71	5.6%	No
FOXS1		1	1	71	1.4%	No
OGG1		1	1	71	1.4%	No
TNFRSF11B		2	2	71	2.8%	No
VANGL1		1	1	71	1.4%	No
ZNF641		1	1	71	1.4%	No
C12ORF54		1	1	71	1.4%	No
CNOT11		1	1	71	1.4%	No
SERPINA12		2	1	71	1.4%	No
FLNB		6	3	71	4.2%	No
FLNA		8	4	71	5.6%	No
A2M		1	1	71	1.4%	No
FLII		5	3	71	4.2%	No
FOXRED1		2	1	71	1.4%	No
TRIM56		2	2	71	2.8%	No
METRNL		2	1	71	1.4%	No
FLG		18	12	71	16.9%	No
SUPT20H		5	3	71	4.2%	No
NAGK		1	1	71	1.4%	No
STAB2		5	4	71	5.6%	No
INSM1		1	1	71	1.4%	No
INSR		6	6	71	8.5%	Yes
OMG		2	1	71	1.4%	No
