Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
ZDHHC9		Xq26.1	AMP	1	70	1.4%	No
GPHN		14q23.3	HOMDEL	1	70	1.4%	Yes
LINC01556		6p22.1	AMP	1	70	1.4%	No
RPL39P5		3q22.2	AMP	4	70	5.7%	No
NOL11		17q24.2	AMP	1	70	1.4%	No
C20ORF27		20p13	AMP	1	70	1.4%	No
CRELD2		22q13.33	AMP	1	70	1.4%	No
NAT2		8p22	HOMDEL	3	70	4.3%	No
GAGE12G		Xp11.23	AMP	2	70	2.9%	No
ALG1L2		3q22.1	AMP	3	70	4.3%	No
FNBP4		11p11.2	HOMDEL	1	70	1.4%	No
OXR1		8q23.1	AMP	1	70	1.4%	No
SYTL2		11q14.1	AMP	1	70	1.4%	No
ZNF281		1q32.1	AMP	1	70	1.4%	No
CRLF3		17q11.2	AMP	1	70	1.4%	No
BROX		1q41	AMP	1	70	1.4%	No
SNX25		4q35.1	AMP	1	70	1.4%	No
NSMF		9q34.3	HOMDEL	1	70	1.4%	No
EHBP1L1		11q13.1	AMP	1	70	1.4%	No
ZNF343		20p13	AMP	1	70	1.4%	No
ZNF556		19p13.3	AMP	1	70	1.4%	No
OR2T29		1q44	AMP	1	70	1.4%	No
GAGE12D		Xp11.23	AMP	2	70	2.9%	No
CNOT6		5q35.3	AMP	1	70	1.4%	No
ITIH1		3p21.1	HOMDEL	2	70	2.9%	No
DAZAP1		19p13.3	HOMDEL	3	70	4.3%	Yes
RSL1D1		16p13.13	AMP	3	70	4.3%	No
MYRIP		3p22.1	AMP	1	70	1.4%	No
RNA5SP345		11q21	HOMDEL	1	70	1.4%	No
THG1L		5q33.3	AMP	1	70	1.4%	No
ZNF512B		20q13.33	AMP	1	70	1.4%	No
TRIM64B		11q14.3	AMP	1	70	1.4%	No
ZBTB7A		19p13.3	HOMDEL	2	70	2.9%	Yes
IFFO1		12p13.31	HOMDEL	1	70	1.4%	No
ARL4C	3.466e-41	2q37.1	HOMDEL	2	70	2.9%	No
TMED6		16q22.1	HOMDEL	1	70	1.4%	No
RNA5SP203	4.670e-2	6p24.2	HOMDEL	1	70	1.4%	No
CFHR5		1q31.3	AMP	1	70	1.4%	No
VSTM5		11q21	AMP	2	70	2.9%	No
TMEM98		17q11.2	AMP	1	70	1.4%	No
MTND1P15		17p11.2	AMP	2	70	2.9%	No
RN7SL561P		20p13	HOMDEL	1	70	1.4%	No
ZNF490		19p13.2-p13.13	AMP	2	70	2.9%	No
ADA		20q13.12	AMP	1	70	1.4%	No
ZNF576		19q13.31	AMP	3	70	4.3%	No
RN7SL584P		15q11.1	AMP	1	70	1.4%	No
SHH	1.615e-3	7q36.3	HOMDEL	1	70	1.4%	No
DNAJB1		19p13.12	HOMDEL	1	70	1.4%	Yes
ABCC6		16p13.11	AMP	2	70	2.9%	No
LCNL1		9q34.3	HOMDEL	1	70	1.4%	No
SCN10A		3p22.2	HOMDEL	1	70	1.4%	No
PRR21	3.466e-41	2q37.3	HOMDEL	2	70	2.9%	No
ANKRD12		18p11.22	HOMDEL	1	70	1.4%	No
UTP11		1p34.3	AMP	1	70	1.4%	No
KRT40		17q21.2	HOMDEL	3	70	4.3%	No
DHX33		17p13.2	HOMDEL	1	70	1.4%	No
FAM76B		11q21	HOMDEL	1	70	1.4%	No
SIDT1		3q13.2	AMP	4	70	5.7%	No
THEM5	3.200e-5	1q21.3	AMP	2	70	2.9%	No
NKPD1		19q13.32	AMP	3	70	4.3%	No
USP6		17p13.2	HOMDEL	1	70	1.4%	Yes
HMGN4		6p22.2	AMP	1	70	1.4%	No
GTSF1L		20q13.12	AMP	1	70	1.4%	No
RNA5SP179		5p15.1	AMP	8	70	11.4%	No
MUSTN1		3p21.1	HOMDEL	2	70	2.9%	No
ARAF		Xp11.3	AMP	2	70	2.9%	Yes
TRIM38		6p22.2	AMP	1	70	1.4%	No
GTF2F1		19p13.3	HOMDEL	2	70	2.9%	No
CCDC80		3q13.2	AMP	3	70	4.3%	No
ADAR	3.200e-5	1q21.3	AMP	2	70	2.9%	No
IKBKB		8p11.21	HOMDEL	1	70	1.4%	Yes
NANP		20p11.21	AMP	2	70	2.9%	No
CNKSR1	2.952e-4	1p36.11	HOMDEL	1	70	1.4%	No
PPP1R37		19q13.32	AMP	4	70	5.7%	No
RN7SKP3	2.168e-19	13q14.12	HOMDEL	5	70	7.1%	No
PRR14L		22q12.2	HOMDEL	1	70	1.4%	No
RIIAD1	3.200e-5	1q21.3	AMP	2	70	2.9%	No
OR7E24		19p13.2	HOMDEL	1	70	1.4%	No
TADA3		3p25.3	AMP	1	70	1.4%	No
HAPLN3	5.804e-3	15q26.1	AMP	1	70	1.4%	No
RNA5SP178		5p15.1	AMP	8	70	11.4%	No
SSX6P		Xp11.23	AMP	2	70	2.9%	No
VPS16		20p13	HOMDEL	1	70	1.4%	No
MTMR7		8p22	HOMDEL	3	70	4.3%	No
CCM2L		20q11.21	AMP	3	70	4.3%	No
ADARB1		21q22.3	AMP	1	70	1.4%	No
CD99P1		Xp22.33 and Yp11.31	AMP	2	70	2.9%	No
CISH		3p21.2	HOMDEL	2	70	2.9%	No
PPP1R18		6p21.33	AMP	1	70	1.4%	No
TMEM45A		3q12.2	AMP	3	70	4.3%	No
RAB3IP		12q15	AMP	1	70	1.4%	No
KCTD15		19q13.11	AMP	1	70	1.4%	No
RNA5SP181		5p13.2	AMP	7	70	10.0%	No
PFDN6		6p21.32	AMP	1	70	1.4%	No
HEXB		5q13.3	HOMDEL	1	70	1.4%	No
RNA5SP76		1q41	AMP	1	70	1.4%	No
ESRP1		8q22.1	AMP	1	70	1.4%	No
GEMIN5		5q33.2	AMP	1	70	1.4%	No
SPATA16		3q26.31	AMP	14	70	20.0%	No
RTP2		3q27.3	AMP	12	70	17.1%	No
SSX7		Xp11.22	AMP	1	70	1.4%	No
UBE2Q2P1	5.804e-3	15q25.2	AMP	1	70	1.4%	No
NAALAD2		11q14.3	HOMDEL	1	70	1.4%	No
SLC25A38		3p22.1	AMP	1	70	1.4%	No
PPFIBP1		12p11.23-p11.22	HOMDEL	1	70	1.4%	Yes
ZBTB18		1q44	AMP	1	70	1.4%	No
RNA5SP180		5p15.1	AMP	8	70	11.4%	No
GPR146		7p22.3	HOMDEL	1	70	1.4%	No
RAP1B		12q15	AMP	2	70	2.9%	No
SAMD10		20q13.33	AMP	1	70	1.4%	No
KLRK1		12p13.2	HOMDEL	1	70	1.4%	No
SLC25A17		22q13.2	AMP	2	70	2.9%	No
NARF	6.784e-4	17q25.3	HOMDEL	2	70	2.9%	No
RN7SKP116		6p12.3	HOMDEL	1	70	1.4%	No
OR7D2		19p13.2	HOMDEL	1	70	1.4%	No
GAGE2C		Xp11.23	AMP	2	70	2.9%	No
TOMM70		3q12.2	AMP	3	70	4.3%	No
LINC00410		13q31.3	HOMDEL	1	70	1.4%	No
APP	1.952e-1	21q21.3	HOMDEL	1	70	1.4%	No
CX3CR1		3p22.2	HOMDEL	1	70	1.4%	No
DNASE2		19p13.13	HOMDEL	1	70	1.4%	No
DONSON		21q22.11	HOMDEL	1	70	1.4%	No
DLGAP2		8p23.3	HOMDEL	3	70	4.3%	No
RNA5SP78		1q42.13	AMP	1	70	1.4%	No
TNPO2		19p13.13	HOMDEL	1	70	1.4%	No
RABL6		9q34.3	HOMDEL	1	70	1.4%	No
KCNJ16		17q24.3	AMP	1	70	1.4%	No
TDRD10	3.200e-5	1q21.3	AMP	2	70	2.9%	No
LRTM2		12p13.33	AMP	1	70	1.4%	No
RN7SL491P		19q13.12	AMP	1	70	1.4%	No
BCAS1		20q13.2	AMP	1	70	1.4%	No
SLC9A6		Xq26.3	AMP	2	70	2.9%	No
ABHD16B		20q13.33	AMP	1	70	1.4%	No
LINC01620		20q13.12	AMP	1	70	1.4%	No
COX4I2	4.240e-10	20q11.21	AMP	4	70	5.7%	No
DNAH14		1q42.12	AMP	1	70	1.4%	No
FAM110D	2.952e-4	1p36.11	HOMDEL	1	70	1.4%	No
C8ORF48		8p22	HOMDEL	3	70	4.3%	No
KCNJ15		21q22.13-q22.2	AMP	1	70	1.4%	No
RNA5SP77		1q42.13	AMP	1	70	1.4%	No
CAMK1		3p25.3	AMP	1	70	1.4%	No
TNFSF11	2.168e-19	13q14	HOMDEL	5	70	7.1%	No
SOX14		3q22.3	AMP	5	70	7.1%	No
TMEM205		19p13.2	AMP	1	70	1.4%	No
TMEM52B		12p13.2	HOMDEL	1	70	1.4%	No
API5		11p12	AMP	1	70	1.4%	No
ATP5PD	2.021e-5	17q25.1	AMP	4	70	5.7%	No
PKDREJ		22q13.31	AMP	2	70	2.9%	No
RNA5SP81		1q43	AMP	1	70	1.4%	No
PATE3	1.076e-32	11q24.2	HOMDEL	2	70	2.9%	No
ADCY2		5p15.31	AMP	8	70	11.4%	No
RN7SL545P		15q11.2	AMP	1	70	1.4%	No
ZNF598		16p13.3	AMP	2	70	2.9%	No
PNMA6A		Xq28	AMP	3	70	4.3%	No
TFG		3q12.2	AMP	4	70	5.7%	Yes
PCNA		20p12.3	HOMDEL	1	70	1.4%	No
ARSG		17q24.2	HOMDEL	1	70	1.4%	No
SRPX		Xp11.4	AMP	1	70	1.4%	No
AKAP11	2.168e-19	13q14.11	HOMDEL	5	70	7.1%	No
MRPS17		7p11.2	AMP	1	70	1.4%	No
FLOT1		6p21.33	AMP	1	70	1.4%	No
RNA5SP80		1q42.2	AMP	1	70	1.4%	No
LINC00899		22q13.31	AMP	2	70	2.9%	No
SETDB1	3.200e-5	1q21.3	AMP	2	70	2.9%	Yes
BANF2		20p12.1	AMP	1	70	1.4%	No
LCN10		9q34.3	HOMDEL	1	70	1.4%	No
TOX2		20q13.12	AMP	1	70	1.4%	No
THBS2	9.848e-5	6q27	HOMDEL	2	70	2.9%	No
CPT1B		22q13.33	AMP	1	70	1.4%	No
KIFC3	1.727e-2	16q21	HOMDEL	1	70	1.4%	No
RNA5SP79		1q42.2	AMP	1	70	1.4%	No
SPOP		17q21.33	AMP	1	70	1.4%	Yes
ABCA10		17q24.3	AMP	1	70	1.4%	No
