Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
CINP		14q32.31	AMP	1	21	4.8%	No
NFKBIB		19q13.2	AMP	2	21	9.5%	No
RAB6D		2q21.1	HOMDEL	1	21	4.8%	No
IFNL2		19q13.2	AMP	2	21	9.5%	No
POLG2		17q23.3	AMP	1	21	4.8%	No
LRRK1		15q26.3	AMP	1	21	4.8%	No
UGT1A10		2q37.1	HOMDEL	2	21	9.5%	No
ALG1L2		3q22.1	AMP	4	21	19.0%	No
STK11IP		2q35	HOMDEL	2	21	9.5%	No
ATP4B		13q34	AMP	1	21	4.8%	No
LINC00471		2q37.1	HOMDEL	2	21	9.5%	No
LINC01238		2q37.3	HOMDEL	2	21	9.5%	No
CGB5		19q13.33	AMP	1	21	4.8%	No
INO80D		2q33.3	HOMDEL	2	21	9.5%	No
LINC01227		16q23.2	HOMDEL	1	21	4.8%	No
RNF212		4p16.3	HOMDEL	1	21	4.8%	No
SDHAP4		3q29	AMP	3	21	14.3%	No
RFX5		1q21.3	AMP	2	21	9.5%	No
XRCC3		14q32.33	AMP	1	21	4.8%	No
ARNTL2		12p11.23	AMP	1	21	4.8%	No
ZNF556		19p13.3	AMP	1	21	4.8%	No
PA2G4P4		3q25.31	AMP	4	21	19.0%	No
POLD1		19q13.3	AMP	1	21	4.8%	Yes
TSEN34		19q13.42	AMP	2	21	9.5%	No
RCCD1		15q26.1	AMP	2	21	9.5%	No
C2ORF72		2q37.1	HOMDEL	2	21	9.5%	No
BTBD1		15q25.2	AMP	1	21	4.8%	No
OR6K3		1q23.1	AMP	1	21	4.8%	No
RPS6KA5		14q32.11	AMP	1	21	4.8%	No
RGS5-AS1		1q23.3	AMP	1	21	4.8%	No
TAB3		Xp21.2	HOMDEL	1	21	4.8%	No
DYRK1A		21q22.13	AMP	2	21	9.5%	No
GSX2		4q12	AMP	2	21	9.5%	No
ZNF525		19q13.42	AMP	2	21	9.5%	No
STRN4		19q13.32	AMP	1	21	4.8%	No
MFSD11		17q25.1	HOMDEL	1	21	4.8%	No
RAB1A		2p14	AMP	1	21	4.8%	No
RGS5		1q23.3	AMP	1	21	4.8%	No
ARNT2		15q25.1	AMP	1	21	4.8%	No
MTRNR2L9		6q11.1	AMP	1	21	4.8%	No
FGF17		8p21.3	HOMDEL	1	21	4.8%	No
CFAP44-AS1		3q13.2	AMP	3	21	14.3%	No
ARL4C		2q37.1	HOMDEL	2	21	9.5%	No
CLK2		1q22	AMP	1	21	4.8%	No
DICER1-AS1		14q32.13	AMP	1	21	4.8%	No
B3GNT7		2q37.1	HOMDEL	2	21	9.5%	No
NR0B1		Xp21.2	HOMDEL	1	21	4.8%	No
MPP1		Xq28	AMP	1	21	4.8%	No
LINC00589		8p12	HOMDEL	1	21	4.8%	No
FOXF1		16q24.1	HOMDEL	1	21	4.8%	Yes
ETV3L		1q23.1	AMP	1	21	4.8%	No
ARL13B		3q11.1-q11.2	AMP	3	21	14.3%	No
IL12A		3q25.33	AMP	4	21	19.0%	No
