Gene	Gistic(Q-value)	Cytoband	CNA	Profiled Samples	#	Freq	Is Cancer Gene (source: OncoKB)
RNA5SP217		6q22.33	HOMDEL	1	21	4.8%	No
CCNB3		Xp11.22	AMP	1	21	4.8%	Yes
RPL39P5		3q22.2	AMP	7	21	33.3%	No
GAGE12G		Xp11.23	AMP	1	21	4.8%	No
SNORA29	9.848e-5	6q25.3	HOMDEL	1	21	4.8%	No
ALG1L2		3q22.1	AMP	6	21	28.6%	No
STK11IP		2q35	HOMDEL	2	21	9.5%	No
ATP4B	2.830e-4	13q34	AMP	1	21	4.8%	No
LINC00471	3.466e-41	2q37.1	HOMDEL	2	21	9.5%	No
INO80D		2q33.3	HOMDEL	2	21	9.5%	No
AK9		6q21	AMP	1	21	4.8%	No
HEY2		6q22.31	HOMDEL	1	21	4.8%	No
ZNF556		19p13.3	AMP	1	21	4.8%	No
POLD1		19q13.3	AMP	1	21	4.8%	Yes
TSEN34		19q13.42	AMP	2	21	9.5%	No
OR2T29		1q44	AMP	1	21	4.8%	No
GAGE12D		Xp11.23	AMP	1	21	4.8%	No
FLNB		3p14.3	HOMDEL	1	21	4.8%	No
RCCD1	5.804e-3	15q26.1	AMP	2	21	9.5%	No
ANKRD20A11P	1.952e-1	21q11.2	HOMDEL	1	21	4.8%	No
ITIH1		3p21.1	HOMDEL	1	21	4.8%	No
MFSD6	1.296e-2	2q32.2	AMP	1	21	4.8%	No
LINC02901	9.848e-5	6q25.3	HOMDEL	1	21	4.8%	No
SSX1		Xp11.23	AMP	1	21	4.8%	Yes
SACS	1.336e-9	13q12.12	HOMDEL	1	21	4.8%	No
RPS6KA5		14q32.11	AMP	1	21	4.8%	No
DYRK1A	5.153e-2	21q22.13	AMP	3	21	14.3%	No
GSX2		4q12	AMP	2	21	9.5%	No
ZNF525		19q13.42	AMP	2	21	9.5%	No
STRN4		19q13.32	AMP	1	21	4.8%	No
RNA5SP345		11q21	HOMDEL	2	21	9.5%	No
ZNF512B		20q13.33	AMP	1	21	4.8%	No
HMGCS1		5p12	AMP	1	21	4.8%	No
RN7SKP177		3q25.31	AMP	9	21	42.9%	No
ARL4C	3.466e-41	2q37.1	HOMDEL	2	21	9.5%	No
MPP1		Xq28	AMP	1	21	4.8%	No
SDHAP3		5p15.33	AMP	1	21	4.8%	No
ZNF654		3p11.1	HOMDEL	1	21	4.8%	No
FOXF1		16q24.1	HOMDEL	1	21	4.8%	Yes
ETV3L		1q23.1	AMP	1	21	4.8%	No
ARL13B		3q11.1-q11.2	AMP	5	21	23.8%	No
GRPR		Xp22.2	AMP	1	21	4.8%	No
ADA		20q13.12	AMP	1	21	4.8%	No
ZNF576		19q13.31	AMP	1	21	4.8%	No
SIGLEC22P		19q13.41	AMP	1	21	4.8%	No
FBXL20		17q12	AMP	1	21	4.8%	No
SLC16A5	2.021e-5	17q25.1	AMP	1	21	4.8%	No
CATSPERG	3.164e-8	19q13.2	AMP	2	21	9.5%	No
DVL3		3q27.1	AMP	9	21	42.9%	No
MVD		16q24.2	HOMDEL	1	21	4.8%	No
PRR21	3.466e-41	2q37.3	HOMDEL	2	21	9.5%	No
SLC22A16		6q21	AMP	1	21	4.8%	No
ANKRD12		18p11.22	HOMDEL	1	21	4.8%	No
PKD1L1		7p12.3	AMP	1	21	4.8%	No
EPM2A		6q24.3	AMP	1	21	4.8%	No
FAM76B		11q21	HOMDEL	2	21	9.5%	No
SIDT1		3q13.2	AMP	5	21	23.8%	No
THEM5	3.200e-5	1q21.3	AMP	1	21	4.8%	No
SYMPK		19q13.32	AMP	2	21	9.5%	No
NKPD1		19q13.32	AMP	1	21	4.8%	No
RN7SKP181	5.804e-3	15q26.2	AMP	1	21	4.8%	No
ZNF541		19q13.33	AMP	1	21	4.8%	No
GTSF1L		20q13.12	AMP	1	21	4.8%	No
SSX5		Xp11.23	AMP	1	21	4.8%	No
SNRNP70		19q13.33	AMP	1	21	4.8%	No
MMP27		11q22.2	HOMDEL	2	21	9.5%	No
RNA5SP179		5p15.1	AMP	1	21	4.8%	No
NUMBL		19q13.2	AMP	1	21	4.8%	No
MUSTN1		3p21.1	HOMDEL	1	21	4.8%	No
ARAF		Xp11.3	AMP	1	21	4.8%	Yes
CCDC80		3q13.2	AMP	5	21	23.8%	No
ZP4		1q43	AMP	1	21	4.8%	No
ADAR	3.200e-5	1q21.3	AMP	1	21	4.8%	No
PPP1R37		19q13.32	AMP	1	21	4.8%	No
