Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
FAM200B		1	1	40	2.5%	No
OCLN		1	1	40	2.5%	No
STPG2		1	1	40	2.5%	No
C4ORF54		2	2	40	5.0%	No
ASPM		3	3	40	7.5%	No
WDR31		1	1	40	2.5%	No
DPYSL5		1	1	40	2.5%	No
WRNIP1		1	1	40	2.5%	No
CDC42BPG		1	1	40	2.5%	No
DNAH3		2	1	40	2.5%	No
UBQLN4		1	1	40	2.5%	No
ZNF618		1	1	40	2.5%	No
LAMA1		2	2	40	5.0%	No
KRTAP1-3		3	2	40	5.0%	No
AGPAT4		1	1	40	2.5%	No
RALGAPA1		2	2	40	5.0%	No
INPP4A		1	1	40	2.5%	Yes
SPINT2		1	1	40	2.5%	No
OGDH		2	2	40	5.0%	No
KRTAP27-1		1	1	40	2.5%	No
TNFRSF11B		1	1	40	2.5%	No
FLNB		1	1	40	2.5%	No
FLII		1	1	40	2.5%	No
FLG		3	3	40	7.5%	No
SUPT20H		2	2	40	5.0%	No
STAB2		1	1	40	2.5%	No
INSM1		1	1	40	2.5%	No
INSR		2	2	40	5.0%	Yes
OMP		1	1	40	2.5%	No
CTCF		2	2	40	5.0%	Yes
EIF3E		1	1	40	2.5%	Yes
FLOT2		1	1	40	2.5%	No
CD226		1	1	40	2.5%	No
FLNC		1	1	40	2.5%	No
TSBP1		1	1	40	2.5%	No
SPECC1		1	1	40	2.5%	No
IRF2		1	1	40	2.5%	Yes
FAM43B		1	1	40	2.5%	No
FBXW10B		1	1	40	2.5%	No
FMO5		1	1	40	2.5%	No
RAD51AP1		1	1	40	2.5%	No
UBE2Q1		1	1	40	2.5%	No
LEFTY1		1	1	40	2.5%	No
RAB1B		2	1	40	2.5%	No
CEP89		1	1	40	2.5%	No
FLT4		2	2	40	5.0%	Yes
TMEM132D		3	3	40	7.5%	No
FLT1		1	1	40	2.5%	Yes
OPHN1		1	1	40	2.5%	No
IRAK1		1	1	40	2.5%	No
IRAK2		1	1	40	2.5%	No
POSTN		1	1	40	2.5%	No
PNPT1		1	1	40	2.5%	No
ANGPTL5		1	1	40	2.5%	No
IRF1		1	1	40	2.5%	Yes
ITGA1		2	2	40	5.0%	No
EFCAB9		1	1	40	2.5%	No
ITGA2		1	1	40	2.5%	No
CDH12		1	1	40	2.5%	No
ZNF233		2	2	40	5.0%	No
OTUD5		1	1	40	2.5%	No
GOLGA2P5		1	1	40	2.5%	No
MED25		1	1	40	2.5%	No
CDH10		4	3	40	7.5%	No
FNTA		1	1	40	2.5%	No
CAMKK2		1	1	40	2.5%	No
ZCCHC8		1	1	40	2.5%	No
CDH7		1	1	40	2.5%	No
FN1		1	1	40	2.5%	No
AFF2		2	2	40	5.0%	No
CDH4		1	1	40	2.5%	No
RNPC3		1	1	40	2.5%	No
MRGPRX1		1	1	40	2.5%	No
TSGA13		1	1	40	2.5%	No
IRF5		1	1	40	2.5%	No
IRF6		2	2	40	5.0%	No
LRGUK		1	1	40	2.5%	No
IGF2BP1		1	1	40	2.5%	No
NPRL2		1	1	40	2.5%	No
ZXDB		2	2	40	5.0%	No
SH3PXD2B		1	1	40	2.5%	No
IGF2BP3		1	1	40	2.5%	No
CYP4X1		1	1	40	2.5%	No
FMR1NB		1	1	40	2.5%	No
ITGAD		1	1	40	2.5%	No
ITGAE		1	1	40	2.5%	No
ITGAL		1	1	40	2.5%	No
ZNF785		2	1	40	2.5%	No
SPTA1		3	3	40	7.5%	No
CDK3		1	1	40	2.5%	No
EPS8L3		1	1	40	2.5%	No
FOLR1		1	1	40	2.5%	No
SPAG5		2	2	40	5.0%	No
CDC73		1	1	40	2.5%	Yes
SPTAN1		2	2	40	5.0%	No
CDH17		1	1	40	2.5%	No
CDH13		2	2	40	5.0%	No
CTAGE9		1	1	40	2.5%	No
ITGA4		1	1	40	2.5%	No
FBXW2		1	1	40	2.5%	No
PDLIM5		1	1	40	2.5%	No
ST6GALNAC2		1	1	40	2.5%	No
METTL24		1	1	40	2.5%	No
ITGB3		1	1	40	2.5%	No
ITGB4		1	1	40	2.5%	No
ITGB5		1	1	40	2.5%	No
ITGB6		1	1	40	2.5%	No
SREBF1		1	1	40	2.5%	No
OR6C1		1	1	40	2.5%	No
YIPF7		1	1	40	2.5%	No
OR6C75		1	1	40	2.5%	No
AOPEP		3	3	40	7.5%	No
ZNF382		1	1	40	2.5%	No
ZNF366		2	2	40	5.0%	No
FPR3		1	1	40	2.5%	No
FPR2		2	2	40	5.0%	No
TXNIP		1	1	40	2.5%	No
FOSB		1	1	40	2.5%	No
SLFN14		2	2	40	5.0%	No
ITGAV		1	1	40	2.5%	No
SPTBN1		1	1	40	2.5%	No
SPTB		1	1	40	2.5%	No
SPTBN2		3	3	40	7.5%	No
ITGB2		1	1	40	2.5%	No
MDS2		1	1	40	2.5%	Yes
FANK1		1	1	40	2.5%	No
BOD1L1		5	4	40	10.0%	No
SRP68		1	1	40	2.5%	No
TAS2R41		1	1	40	2.5%	No
SAP130		2	2	40	5.0%	No
C18ORF21		1	1	40	2.5%	No
PWWP3A		1	1	40	2.5%	No
GPR75-ASB3		1	1	40	2.5%	No
CDR2		1	1	40	2.5%	No
CEP97		1	1	40	2.5%	No
CORO6		2	2	40	5.0%	No
ARHGEF37		1	1	40	2.5%	No
WDR73		1	1	40	2.5%	No
ARGFX		2	2	40	5.0%	No
ITIH3		2	2	40	5.0%	No
